Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
33,3:52.32,,Samuel PRAKEL,29 Oct 1994,USA,2,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1171,0
34,3:52.41,,Brian FAY,09 Nov 1998,IRL,3,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1170,0
35,3:52.62,,Henry WYNNE,18 Apr 1995,USA,1,,"Dempsey Indoor, Seattle, WA (USA) (i)",23 Feb 2024,1167,0
36,3:52.66,,Thomas VANOPPEN,19 Sep 1999,BEL,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1226,0
37,3:52.67,,Charles GRETHEN,02 Jun 1992,LUX,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1226,0
38,3:52.70,,Adam SPENCER,04 Oct 2001,AUS,6,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1226,0
39,3:52.71,,Benjamin ALLEN,17 Apr 1998,USA,4f2,,"Armory Track&Field Center, New York, NY (USA) (i)",02 Mar 2024,1226,0
40,3:52.81,,AJ ERNST,28 Aug 1998,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1224,0
41,3:53.09,,Brannon KIDDER,18 Nov 1993,USA,2f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1161,0
42,3:53.12,,Charles PHILIBERT-THIBOUTOT,31 Dec 1990,CAN,7,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1220,0
43,3:53.16,,Samuel TANNER,24 Aug 2000,NZL,4,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1160,0
44,3:53.17,,Colin SAHLMAN,28 Oct 2003,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1219,0
45,3:53.22,,Callum ELSON,31 Dec 1998,GBR,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1219,0
46,3:53.38,,Matt WISNER,21 May 1998,USA,1f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1217,0
47,3:53.41,,Cooper TEARE,18 Aug 1999,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1216,0
48,3:53.42,,Joe WASKOM,12 Apr 2001,USA,4,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1157,0
49,3:53.54,,Isaac BASTEN,21 Nov 2000,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1215,0
50,3:53.67,,Nathan GREEN,10 Apr 2003,USA,1,,"Munster Technological University Track, Cork (IRL)",09 Jul 2024,1154,0
51,3:53.70,,Waleed SULIMAN,22 Sep 1998,USA,4,,"Dempsey Indoor, Seattle, WA (USA) (i)",23 Feb 2024,1153,0
52,3:53.78,,Jesse HUNT,28 Jul 1998,AUS,5,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1152,0
53,3:53.82,,Lamecha GIRMA,26 Nov 2000,ETH,13,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1152,0
54,3:53.85,,Liam MURPHY,04 Feb 2002,USA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1210,0
55,3:54.12,,Rob NAPOLITANO,03 Nov 1994,PUR,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1207,0
56,3:54.16,,Charlie O'DONOVAN,06 Aug 1999,IRL,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1206,0
57,3:54.17,,Parker WOLFE,27 Jul 2003,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1206,0
58,3:54.28,,Noah BALTUS,03 Feb 2002,NED,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1205,0
59,3:54.43,,Mohad ABDIKADAR SHEIK ALI,12 Jun 1993,ITA,6,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1144,0
60,3:54.48,,Nick FOSTER,03 Oct 2000,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1202,0
61,3:54.56,,Tshepo TSHITE,15 Jan 1997,RSA,1,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1201,0
62,3:54.61,,Ronan MCMAHON-STAGGS,01 Sep 2002,IRL,5f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1142,0
63,3:54.62,,Abel TEFFRA,23 Jan 2002,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1200,0
64,3:54.63,,Jackson SHARP,21 Aug 2000,AUS,7,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1141,0
65,3:54.82,,Lucas BONS,09 Oct 1999,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1197,0
65,3:54.82,,Mike FOPPEN,29 Nov 1996,NED,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1197,0
67,3:54.84,,Ryoma AOKI,16 Jun 1997,JPN,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1197,0
68,3:55.07,,Archie DAVIS,16 Oct 1998,GBR,13,,"Olympic Stadium, London (GBR)",20 Jul 2024,1136,0
69,3:55.17,,Isaac UPDIKE,21 Mar 1992,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1193,0
70,3:55.20,,Jye EDWARDS,06 Mar 1998,AUS,6,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1134,0
71,3:55.39,,Steven JACKSON,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1190,0
72,3:55.41,,Parvej KHAN,26 Dec 2004,IND,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1190,0
73,3:55.42,,Ruben VERHEYDEN,22 Dec 2000,BEL,2,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1189,0
74,3:55.46,,Abraham ALVARADO,04 Aug 1995,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1189,0
75,3:55.52,,Brian Muange MUSAU,29 Dec 2006,KEN,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1188,0
76,3:55.53,,Matt STRANGIO,31 Jul 2001,USA,1f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1130,0
76,3:55.53,,John GREGOREK,07 Dec 1991,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1188,0
76,3:55.53,,Jack SALISBURY,05 Jan 1998,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1188,0
79,3:55.71,,Sean DONOGHUE,22 Sep 2002,IRL,8,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1128,0
80,3:55.80,,Foster MALLECK,12 Aug 2001,CAN,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1184,0
81,3:55.93,,Yasin SADO,10 Mar 2001,USA,3f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1183,0
82,3:55.96,,Yohanes ASMARE,29 Mar 2006,ETH,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1182,0
82,3:55.96,,Camden MARSHALL,01 May 2003,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1182,0
84,3:56.04,,Kipkemboi Laban KIPTUM,10 Jan 2000,KEN,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1181,0
84,3:56.04,,Ben VEATCH,01 Jun 1998,USA,1,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1124,0
86,3:56.06,,Brett MEYER,17 Dec 1996,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1181,0
87,3:56.11,,Henry MCLUCKIE,03 May 2002,GBR,5,,"Munster Technological University Track, Cork (IRL)",09 Jul 2024,1123,0
88,3:56.15,,Gary MARTIN,23 Dec 2003,USA,2,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1180,0
88,3:56.15,,Ossama MESLEK,08 Jan 1997,ITA,1f1,,"Oxford University Track, Oxford (GBR)",06 May 2024,1122,0
90,3:56.16,,Callum DAVIES,18 Jul 1999,AUS,2f1,,"Cooks Gardens, Whanganui (NZL)",27 Jan 2024,1122,0
91,3:56.23,,Evan DORENKAMP,24 Dec 2000,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1179,0
92,3:56.24,,Marco LANGON,31 Aug 2004,USA,4f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1179,0
93,3:56.28,,Kasey KNEVELBAARD,02 Sep 1996,USA,5f2,,"Armory Track&Field Center, New York, NY (USA) (i)",02 Mar 2024,1178,0
94,3:56.30,,Benoit CAMPION,12 Feb 1998,FRA,3,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1178,0
95,3:56.38,,Sam ELLIS,20 Oct 1998,USA,6f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1119,0
95,3:56.38,,Miguel COCA,,USA,1f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1119,0
97,3:56.43,,Austen DALQUIST,16 Nov 1995,USA,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1176,0
98,3:56.63,,Jesse HAMLIN,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1174,0
99,3:56.77,,Austin MILLER,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1172,0
100,3:56.83,,Hillary CHERUIYOT,,KEN,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1171,0
101,3:56.89,,Olin HACKER,21 May 1997,USA,2,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1113,0
102,3:57.00,,Cameron PROCEVIAT,20 Sep 1993,CAN,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1169,0
103,3:57.01,,Parker SCHNEIDER,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1169,0
104,3:57.03,,Jonathan GRAHN,30 Dec 2004,SWE,5,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1168,0
105,3:57.06,,Jason CLAYTON,15 May 2001,AUS,3,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1111,0
106,3:57.11,,Paul ROBINSON,24 May 1991,IRL,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1167,0
107,3:57.14,,Nick DAHL,25 Aug 1998,USA,6,,"Franklin Field, Philadelphia, PA (USA)",27 Apr 2024,1110,0
108,3:57.18,,Aidan RYAN,,USA,7,,"Franklin Field, Philadelphia, PA (USA)",27 Apr 2024,1109,0
109,3:57.19,,Piers COPELAND,26 Nov 1998,GBR,10,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1109,0
110,3:57.20,,Tyler WIRTH,,USA,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1166,0
111,3:57.21,,István SZÖGI,12 Sep 1995,HUN,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1166,0
112,3:57.23,,Camden GILMORE,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1166,0
113,3:57.25,,Matthew WILKINSON,27 Dec 1998,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1165,0
113,3:57.25,,Ryan ADAMS,25 Jul 1996,MEX,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1165,0
115,3:57.26,,James DUNNE,26 May 2001,IRL,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1165,0
116,3:57.31,,Kang NYOAK,05 Mar 2000,AUS,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1165,0
116,3:57.31,,Parker STOKES,05 Sep 2000,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1165,0
118,3:57.32,,Ahmed MUHUMED,01 Jan 1998,USA,5,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1108,0
119,3:57.43,,Benjamin GODISH,,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1163,0
120,3:57.60,,Paul RYAN,29 May 1997,USA,6,,"Armory Track&Field Center, New York, NY (USA) (i)",27 Jan 2024,1161,0
121,3:57.62,,Caleb WEBB,1997,USA,6,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1104,0
122,3:57.70,,Macauley FRANKS,,USA,3f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1103,0
123,3:57.71,,James YOUNG,29 Dec 1997,GBR,2f1,,"Oxford University Track, Oxford (GBR)",06 May 2024,1103,0
124,3:57.72,,Drew GRIFFITH,,USA,1,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1103,0
125,3:57.73,,Ethan STRAND,20 Oct 2002,USA,5h1,,"The Track at New Balance, Boston, MA (USA) (i)",08 Mar 2024,1159,0
126,3:57.81,,Anas LAGITY CHAOUDAR,17 Jan 2004,ESP,9,,"Munster Technological University Track, Cork (IRL)",09 Jul 2024,1102,0
127,3:57.98,,Jake GILLUM,,USA,9,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1099,0
128,3:58.00,,Davis BOVE,17 Oct 2000,USA,2f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1099,0
129,3:58.02,,Daelen ACKLEY,,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1155,0
129,3:58.02,,Thomas KEEN,16 Jun 2001,GBR,7,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1099,0
129,3:58.02,,Max WHARTON,08 Jul 1996,GBR,1f1,,"Mary Peters Track, Belfast (GBR)",15 Jun 2024,1099,0
132,3:58.05,,Job IJTSMA,16 Jun 2000,NED,11,,"Munster Technological University Track, Cork (IRL)",09 Jul 2024,1099,0
133,3:58.07,,Thomas MORAN,27 Nov 1993,IRL,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1155,0
134,3:58.16,,Nathan MOUNTAIN,27 Aug 2002,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1153,0
135,3:58.18,,Leo DASCHBACH,04 Oct 2001,USA,7f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1097,0
136,3:58.22,,Aarón LAS HERAS,22 Jun 2000,ESP,1f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1096,0
137,3:58.25,,Baptiste MISCHLER,23 Nov 1997,FRA,6,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1152,0
138,3:58.26,,Ben NAGEL,27 Apr 2000,USA,2f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1152,0
139,3:58.28,,Oisín Ó GAILÍN,14 Mar 1997,IRL,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1152,0
139,3:58.28,,Ryan KINNANE,,USA,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1152,0
141,3:58.34,,Vivien HENZ,24 Aug 2004,LUX,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1151,0
142,3:58.39,,Will ANTHONY,30 Aug 2003,NZL,4f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1150,0
143,3:58.41,,Samuel FIELD,22 May 2000,AUS,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1150,0
144,3:58.42,,Isaiah LABRA,,USA,2f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1094,0
145,3:58.50,,John GAY,07 Nov 1996,CAN,8f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1093,0
146,3:58.54,,Joe EWING,17 Feb 2002,GBR,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1148,0
147,3:58.56,,Shane BRACKEN,14 Jun 1998,IRL,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1148,0
148,3:58.57,,Alec PURNELL,2000,CAN,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1148,0
148,3:58.57,,Wes PORTER,18 Sep 2001,USA,5f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1148,0
150,3:58.59,,Austin HASKETT,,USA,1f3,,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA) (i)",19 Jan 2024,1148,0
151,3:58.65,,Caleb FUTTER,,USA,1,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1091,0
152,3:58.69,,Cruz GOMEZ,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1147,0
152,3:58.69,,Callum MORGAN,18 Jun 2003,IRL,3f1,,"Mary Peters Track, Belfast (GBR)",15 Jun 2024,1091,0
154,3:58.70,,Kevin ROBERTSON,28 Sep 1998,CAN,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1146,0
155,3:58.75,,Garrett MACQUIDDY,,USA,5f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1146,0
155,3:58.75,,Wyatt HAUGHTON,12 May 2005,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1146,0
157,3:58.77,,Ezekiel ROP,,KEN,3f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1146,0
158,3:58.78,,Benne C. ANDERSON,2004,GER,1f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1145,0
159,3:58.81,,Wil SMITH,07 Sep 2001,USA,4f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1089,0
160,3:58.83,,James DONAHUE,,USA,7f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1145,0
160,3:58.83,,Cillian KIRWAN,22 Mar 1996,IRL,12,,"Morton Stadium, Dublin (IRL)",12 Jul 2024,1089,0
162,3:58.85,,Nanami ARAI,26 Dec 1994,JPN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1144,0
162,3:58.85,,Tiarnan CRORKEN,13 Jun 1999,GBR,3f1,,"Oxford University Track, Oxford (GBR)",06 May 2024,1089,0
164,3:58.87,,Cole SPROUT,03 Dec 2001,USA,4f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1088,0
165,3:58.92,,Ferenc Soma KOVÁCS,14 Jun 2004,HUN,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1144,0
166,3:58.93,,Christian NOBLE,21 Apr 1997,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1143,0
167,3:58.95,,Michael MIRELES,,USA,5f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1087,0
168,3:59.01,,Carter SOLOMON,,USA,2,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1087,0
169,3:59.02,,Kian DAVIS,25 Apr 2001,GBR,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1142,0
170,3:59.03,,Keisuke MORITA,19 Oct 1995,JPN,6f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1142,0
171,3:59.05,,Cooper CAWTHRA,,USA,3f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1142,0
171,3:59.05,,Vincent MAURI,,USA,3,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1086,0
173,3:59.07,,Aidan TROUTNER,,USA,5h2,,"The Track at New Balance, Boston, MA (USA) (i)",08 Mar 2024,1142,0
174,3:59.14,,Jack CRULL,13 Feb 2002,USA,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1141,0
175,3:59.21,,Matthew BEAUDET,28 Feb 2000,CAN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1140,0
175,3:59.21,,Ethan COLEMAN,,USA,3f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1140,0
175,3:59.21,,Sam GILMAN,20 Sep 2000,USA,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1140,0
178,3:59.22,,Nicholas BENDTSEN,,USA,2f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",20 Jan 2024,1140,0
179,3:59.24,,Max DAVIES,19 Dec 2003,CAN,1f2,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1139,0
179,3:59.24,,Joseph TUFFIN,24 Jun 1999,GBR,1f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1139,0
181,3:59.26,,Noah KIBET,12 Apr 2004,KEN,10,,"Armory Track&Field Center, New York, NY (USA) (i)",27 Jan 2024,1139,0
181,3:59.26,,Cathal O'REILLY,17 Jan 2003,IRL,4f1,,"Mary Peters Track, Belfast (GBR)",15 Jun 2024,1084,0
183,3:59.27,,Thomas BOYDEN,,USA,6f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1083,0
183,3:59.27,,Andrew MCGILL,18 Feb 2004,GBR,5f1,,"Mary Peters Track, Belfast (GBR)",15 Jun 2024,1083,0
185,3:59.31,,Ethan COLEMAN,28 Apr 2004,USA,4,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1083,0
186,3:59.33,,Tyler BILYARD,08 Oct 2001,GBR,2f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1138,0
