Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
jack anstey,3:59.660,2/9/2019,,,3:55.410,"henderson hs, west chester, pa (usa)",8/11/2022,3:56.180,"boston univ. track & tennis center, boston, ma (usa)",2/27/2022,4/8/1997,aus,3:55.410,8/11/2022
craig huffer,3:59.660,6/5/2010,,,3:58.070,"ann arbor, mi (usa)",8/10/2014,3:57.810,"reggie lewis center, boston, ma (usa)",2/2/2013,10/27/1989,aus,3:57.810,2/2/2013
mark fountain,3:59.640,5/24/2003,,,3:53.240,sheffield (gbr),8/21/2005,3:54.770,"boston, ma (usa)",1/29/2005,3/10/1982,aus,3:53.240,8/21/2005
mark arens,3:59.640,3/13/1982,,,3:59.640,adelaide (aus),3/13/1982,,,,3/23/1962,aus,3:59.640,3/13/1982
ken hall,3:59.600,2/16/1975,,,3:55.270,oslo (nor),7/17/1979,,,,7/25/1951,aus,3:55.270,7/17/1979
youcef abdi,3:59.570,3/10/2001,,,3:56.230,"eugene, or (usa)",5/24/2003,,,,12/7/1977,aus,3:56.230,5/24/2003
zak patterson,3:59.560,12/19/2015,,,3:59.560,geelong (aus),12/19/2015,,,,5/29/1995,aus,3:59.560,12/19/2015
jason clayton,3:59.530,6/20/2022,,,3:59.530,"saint louis university high school, saint louis, mo (usa)",6/2/2022,,,,5/15/2001,aus,3:59.530,6/20/2022
jordan gusman,3:59.470,12/17/2015,,,3:57.290,sydney (aus),12/23/2017,,,,1/30/1994,aus,3:57.290,12/23/2017
colin dalton,3:59.440,5/11/1991,,,3:59.440,"eugene, or (usa)",5/11/1991,,,,4/10/1966,aus,3:59.440,5/11/1991
james hansen,3:59.320,12/23/2017,,,3:57.200,"lakeside stadium, melbourne (aus)",2/23/2023,,,,11/27/1993,aus,3:57.200,2/23/2023
jackson sharp,3:59.250,2/12/2021,,,3:59.440,"wisconsin lutheran hs, milwaukee, wi (usa)",7/1/2021,3:59.250,"iowa-recreation building, iowa city, ia (usa)",2/12/2021,8/21/2000,aus,3:59.250,2/12/2021
simon doyle,3:59.220,4/15/1989,,,3:49.910,oslo (nor),7/6/1991,,,,11/9/1966,aus,3:49.910,7/6/1991
alexander stitt,3:59.140,2/11/2023,,,3:59.140,"dempsey indoor, seattle, wa (usa)",2/11/2023,,,,7/10/2001,aus,3:59.140,2/11/2023
chris fisher,3:59.100,3/18/1971,,,3:57.370,"eugene, or (usa)",5/18/1975,,,,10/2/1949,aus,3:57.370,5/18/1975
nigel adkin,3:59.090,6/24/1995,,,3:59.090,cork (irl),6/24/1995,,,,2/2/1972,aus,3:59.090,6/24/1995
pat scammell,3:59.010,3/13/1982,,,3:53.580,melbourne (aus),2/7/1991,,,,4/15/1961,aus,3:53.580,2/7/1991
brad woods,3:58.890,7/7/2007,,,3:58.890,dublin (irl),7/8/2007,,,,4/25/1986,aus,3:58.890,7/7/2007
graham crouch,3:58.700,12/18/1970,,,3:55.590,stockholm (swe),7/1/1974,,,,1/11/1948,aus,3:55.590,7/1/1974
jordan williamsz,3:58.700,4/27/2013,,,3:56.890,"alexander stadium, birmingham (gbr)",8/20/2017,3:56.840,"ames, ia (usa)",2/15/2014,8/21/1992,aus,3:56.840,2/15/2014
jack rayner,3:58.700,2/12/2017,,,3:58.700,melbourne (aus),2/16/2017,,,,12/19/1995,aus,3:58.700,2/12/2017
jim bailey,3:58.600,5/5/1956,,,3:58.600,"los angeles, ca (usa)",5/5/1956,,,,3/8/1929,aus,3:58.600,5/5/1956
rorey hunter,3:58.590,6/10/2017,,,3:56.260,"cardinal gibbons high school, raleigh, nc (usa)",8/5/2022,,,,2/2/1993,aus,3:56.260,8/5/2022
daniel hill,3:58.570,7/4/1998,,,3:58.570,"brunswick, me (usa)",7/6/1996,,,,2/26/1974,aus,3:58.570,7/4/1998
brett robinson,3:58.560,6/10/2017,,,3:58.500,melbourne (aus),2/16/2017,,,,5/8/1991,aus,3:58.500,2/16/2017
ryan foster,3:58.490,1/29/2011,,,,,,3:58.490,"university park, pa (usa)",1/29/2011,8/26/1988,aus,3:58.490,1/29/2011
jesse hunt,3:58.460,2/25/2023,,,3:58.930,"meredith college, raleigh, nc (usa)",8/4/2023,3:58.460,"norton sports center, louisville, ky (usa)",2/25/2023,7/28/1998,aus,3:58.460,2/25/2023
mitchell kealey,3:58.450,7/8/2007,,,3:57.270,"crystal palace, london (gbr)",7/25/2008,,,,1/28/1984,aus,3:57.270,7/25/2008
chris bowden,3:58.390,2/20/1997,,,3:58.390,melbourne (aus),2/20/1997,,,,6/12/1976,aus,3:58.390,2/20/1997
peter o'donoghue,3:58.200,1/30/1982,,,3:57.690,burnaby (can),7/16/1984,,,,10/1/1961,aus,3:57.690,7/16/1984
paul grinsted,3:58.200,12/17/1981,,,3:58.200,melbourne (aus),12/17/1981,,,,8/21/1957,aus,3:58.200,12/17/1981
matthew gibney,3:58.120,2/12/2011,,,,,,3:58.120,"seattle, wa (usa)",2/12/2011,6/16/1988,aus,3:58.120,2/12/2011
matthew rankin,3:58.060,2/26/2023,,,,,,3:58.060,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,5/23/2001,aus,3:58.060,2/26/2023
holt hardy,3:58.040,2/20/1997,,,3:57.120,melbourne (aus),2/25/1998,,,,10/9/1972,aus,3:57.120,2/25/1998
mike power,3:58.030,6/4/1995,,,3:58.030,"eugene, or (usa)",6/4/1995,3:59.850,"fairfax, va (usa)",1/29/1999,5/9/1976,aus,3:58.030,6/4/1995
peter bourke,3:58.000,12/17/1981,,,3:57.530,london (gbr),7/11/1986,,,,4/23/1958,aus,3:57.530,7/11/1986
peter watson,3:58.000,7/7/1973,,,3:58.000,victoria (can),7/7/1973,,,,5/30/1947,aus,3:58.000,7/7/1973
john landy,3:57.900,6/21/1954,,,3:57.900,turku (fin),6/21/1954,,,,4/4/1930,aus,3:57.900,6/21/1954
sam mcentee,3:57.860,1/28/2012,,,3:57.050,cork (irl),7/16/2018,3:57.860,"university park, pa (usa)",1/28/2012,2/3/1992,aus,3:57.050,7/16/2018
morgan mcdonald,3:57.830,2/6/2016,,,3:54.630,"bay shore, ny (usa)",9/4/2019,3:57.830,"new york, ny (usa)",2/6/2016,4/23/1996,aus,3:54.630,9/4/2019
steve austin,3:57.790,1/14/1982,,,,,,,,,,aus,3:57.790,1/14/1982
james kaan,3:57.700,8/6/2011,,,3:57.700,"crystal palace, london (gbr)",8/6/2011,,,,9/17/1990,aus,3:57.700,8/6/2011
patrick tiernan,3:57.590,7/18/2017,,,3:57.590,cork (irl),7/18/2017,3:56.820,"dempsey indoor, seattle, wa (usa)",2/13/2021,9/11/1994,aus,3:56.820,2/13/2021
jye edwards,3:57.300,12/19/2020,,,3:49.270,"bislett stadion, oslo (nor)",7/1/2021,,,,3/6/1998,aus,3:49.270,7/1/2021
duncan miller,3:57.040,1/15/2022,,,3:57.040,"dempsey indoor, seattle, wa (usa)",1/15/2022,3:56.770,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,1/30/2000,aus,3:56.770,2/11/2023
callum davies,3:56.990,7/5/2022,,,3:55.480,"lakeside stadium, melbourne (aus)",2/23/2023,,,,7/18/1999,aus,3:55.480,2/23/2023
mike hillardt,3:56.870,8/8/1980,3:51.820,8/28/1985,,,,,,,,aus,3:51.820,8/28/1985
jude thomas,3:56.870,2/23/2023,,,3:56.870,"lakeside stadium, melbourne (aus)",2/23/2023,,,,3/17/2002,aus,3:56.870,2/23/2023
peter fuller,3:56.800,1/9/1974,,,3:56.800,melbourne (aus),1/9/1974,,,,11/28/1949,aus,3:56.800,1/9/1974
steve foley,3:56.590,7/10/1979,,,3:56.590,dublin (irl),7/10/1979,,,,12/21/1957,aus,3:56.590,7/10/1979
andrew lloyd,3:56.520,5/27/1990,,,3:56.520,london (gbr),5/27/1990,,,,2/14/1959,aus,3:56.520,5/27/1990
lachlan chisholm,3:56.270,5/6/2005,,,3:56.270,brisbane (aus),5/6/2005,,,,5/4/1980,aus,3:56.270,5/6/2005
stewart mcsweyn,3:55.970,7/18/2017,,,3:48.370,"bislett stadion, oslo (nor)",7/1/2021,3:56.460,athlone (irl),2/13/2019,6/1/1995,aus,3:48.370,7/1/2021
scott petersen,3:55.750,2/20/1997,,,3:55.750,melbourne (aus),2/20/1997,,,,11/14/1973,aus,3:55.750,2/20/1997
cameron myers,3:55.440,2/23/2023,,,3:55.440,"lakeside stadium, melbourne (aus)",2/23/2023,,,,6/9/2006,aus,3:55.440,2/23/2023
adam spencer,3:55.120,7/14/2023,,,3:55.120,"morton stadium, dublin (irl)",7/14/2023,3:55.610,"gately indoor tf center, chicago, il (usa)",2/10/2023,10/4/2001,aus,3:55.120,7/14/2023
jeremy roff,3:55.050,7/25/2009,,,3:55.050,"crystal palace, london (gbr)",7/25/2009,,,,11/22/1983,aus,3:55.050,7/25/2009
cameron page,3:54.770,7/20/2013,,,3:54.770,cork (irl),7/2/2013,,,,6/12/1991,aus,3:54.770,7/20/2013
craig mottram,3:53.060,7/13/2001,,,3:48.980,oslo (nor),7/29/2005,3:54.810,"new york, ny (usa)",2/2/2007,6/18/1980,aus,3:48.980,7/29/2005
jeffrey riseley,3:51.250,7/3/2009,,,3:51.250,"bislett stadion, oslo (nor)",7/3/2009,,,,11/11/1986,aus,3:51.250,7/3/2009
michael hillardt,3:51.820,8/28/1985,,,3:51.820,koblenz (ger),8/28/1985,3:56.600,"san diego, ca (usa)",2/23/1986,1/22/1961,aus,3:51.820,8/28/1985
charlie hunter,3:53.490,2/12/2021,,,,,,3:53.490,"randal tyson indoor center, fayetteville, ar (usa)",2/12/2021,7/20/1996,aus,3:53.490,2/12/2021
luke mathews,3:54.530,5/27/2017,,,3:54.530,"hayward field, eugene, or (usa)",5/27/2017,,,,6/21/1995,aus,3:54.530,5/27/2017
mervyn lincoln,3:55.900,8/6/1958,,,3:55.900,dublin (irl),8/6/1958,,,,11/22/1933,aus,3:55.900,8/6/1958
stephen austin,3:57.790,1/14/1982,,,3:57.790,melbourne (aus),1/14/1982,,,,2/14/1951,aus,3:57.790,1/14/1982
albert thomas,3:58.300,3/21/1964,,,3:58.300,melbourne (aus),3/21/1964,,,,2/8/1935,aus,3:58.300,3/21/1964
alistair stevenson,3:58.400,1/22/2000,,,3:58.400,whanganui (nzl),1/22/2000,,,,5/28/1979,aus,3:58.400,1/22/2000
glenn ritchie,3:58.430,7/5/1988,,,3:58.430,cork (irl),7/5/1988,,,,1/18/1962,aus,3:58.430,7/5/1988
marc see,3:58.610,1/29/2016,,,3:58.610,perth (aus),1/29/2016,,,,3/7/1989,aus,3:58.610,1/29/2016
oliver raimond,3:59.470,2/12/2022,,,,,,3:59.470,"gately indoor tf center, chicago, il (usa)",2/12/2022,6/12/2001,aus,3:59.470,2/12/2022
brenton rowe,3:59.930,3/13/2009,,,3:58.060,"walnut, ca (usa)",4/20/2012,,,,8/17/1987,aut,3:58.060,4/20/2012
robert nemeth,3:58.430,8/17/1979,,,3:52.420,rieti (ita),9/9/1981,3:57.400,"san diego, ca (usa)",2/19/1982,6/5/1958,aut,3:52.420,9/9/1981
dietmar millonig,3:57.700,6/13/1979,,,3:57.700,wien (aut),6/13/1979,,,,6/1/1955,aut,3:57.700,6/13/1979
raphael pallitsch,3:57.220,2/2/2023,,,,,,3:57.220,"atleticka hala, ostrava (cze)",2/2/2023,12/18/1989,aut,3:57.220,2/2/2023
michael buchleitner,3:54.280,3/10/1994,,,,,,3:54.280,karlsruhe (ger),3/1/1994,10/14/1969,aut,3:54.280,3/10/1994
andreas vojta,3:53.950,6/13/2013,,,3:53.950,"bislett stadion, oslo (nor)",6/13/2013,,,,6/9/1989,aut,3:53.950,6/13/2013
venuste niyongabo,3:54.710,9/30/1993,,,3:46.700,"olympiastadion, berlin (ger)",8/26/1997,,,,12/9/1973,bdi,3:46.700,8/26/1997
eddy de pauw,3:59.700,7/28/1987,,,3:59.900,ninove (bel),7/28/1987,,,,6/8/1960,bel,3:59.700,7/28/1987
jean-pierre paumen,3:59.600,8/22/1980,,,3:59.600,bruxelles (bel),8/22/1980,,,,12/16/1956,bel,3:59.600,8/22/1980
christophe impens,3:59.430,5/30/1990,,,3:54.920,sheffield (gbr),8/25/1996,3:54.130,gent (bel),2/12/1997,12/9/1969,bel,3:54.130,2/12/1997
jochem vermeulen,3:59.320,2/4/2023,,,,,,3:59.320,"the track at new balance, boston, ma (usa)",2/4/2023,8/2/1998,bel,3:59.320,2/4/2023
peter callahan,3:58.860,2/4/2012,,,3:56.140,dublin (irl),7/22/2016,3:55.770,"boston, ma (usa)",2/25/2018,6/1/1991,bel,3:55.770,2/25/2018
roland pauwels,3:58.800,7/28/1987,,,3:58.800,ninove (bel),7/28/1987,,,,2/16/1966,bel,3:58.800,7/28/1987
raf wijns,3:58.690,7/20/1983,,,3:57.900,san jose (usa),5/25/1985,,,,1/7/1964,bel,3:57.900,5/25/1985
rudi de wijngaert,3:58.370,7/20/1983,,,3:58.370,luxembourg (lux),7/20/1983,,,,6/23/1959,bel,3:58.370,7/20/1983
marc nevens,3:58.030,8/6/1976,,,3:58.030,edinburgh (gbr),8/6/1976,,,,11/6/1954,bel,3:58.030,8/6/1976
bob verbeeck,3:57.980,7/20/1983,,,3:57.980,luxembourg (lux),7/20/1983,3:57.810,cosford (gbr),3/9/1985,8/5/1960,bel,3:57.810,3/9/1985
william van dijck,3:57.590,8/14/1985,,,3:57.590,hechtel (bel),8/14/1985,,,,1/24/1961,bel,3:57.590,8/14/1985
ismael debjani,3:57.330,8/19/2018,,,3:52.700,"bislett stadion, oslo (nor)",7/1/2021,,,,9/25/1990,bel,3:52.700,7/1/2021
andre de hertoghe,3:57.300,7/4/1967,,,3:56.000,stockholm (swe),7/2/1968,,,,4/19/1941,bel,3:56.000,7/2/1968
luc bernaert,3:56.890,9/30/1993,,,3:56.890,bruxelles (bel),9/3/1993,,,,6/24/1966,bel,3:56.890,9/30/1993
emiel puttemans,3:56.190,7/20/1973,,,3:56.190,stockholm (swe),7/2/1973,,,,10/8/1947,bel,3:56.190,7/20/1973
stijn baeten,3:56.030,9/4/2021,,,3:56.030,"arena civica, milano (ita)",9/4/2021,,,,6/3/1994,bel,3:56.030,9/4/2021
joeri jansen,3:55.840,7/29/2005,,,3:55.840,oslo (nor),7/29/2005,,,,5/28/1979,bel,3:55.840,7/29/2005
marc corstjens,3:55.830,7/10/1991,,,3:54.570,oslo (nor),7/10/1993,,,,8/31/1965,bel,3:54.570,7/10/1993
pieter-jan hannes,3:55.330,6/11/2014,,,3:51.840,"bislett stadion, oslo (nor)",6/11/2015,,,,10/30/1992,bel,3:51.840,6/11/2015
bert leenaerts,3:54.900,8/25/2000,,,3:54.900,bruxelles (bel),8/25/2000,,,,7/1/1980,bel,3:54.900,8/25/2000
thomas vanoppen,3:54.850,2/11/2023,,,,,,3:54.850,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,9/19/1999,bel,3:54.850,2/11/2023
vincent rousseau,3:54.690,8/14/1985,,,3:54.690,hechtel (bel),8/14/1985,,,,7/29/1962,bel,3:54.690,8/14/1985
edgar salve,3:57.400,9/24/1969,,,3:57.400,berlin (ger),9/24/1969,,,,8/26/1946,bel,3:57.400,9/24/1969
roger moens,3:58.900,9/4/1957,,,3:58.900,malmo (swe),9/4/1957,,,,4/26/1930,bel,3:58.900,9/4/1957
isaac kimeli,3:59.350,8/20/2017,,,3:59.350,"alexander stadium, birmingham (gbr)",8/20/2017,,,,3/9/1994,bel,3:59.350,8/20/2017
dage minors,3:59.350,1/27/2023,,,,,,3:59.350,"boston univ. track & tennis center, boston, ma (usa)",1/27/2023,10/26/1995,ber,3:59.350,1/27/2023
azat rakipov,3:57.880,7/26/1994,,,3:57.880,st. petersburg (rus),7/26/1994,,,,11/25/1968,blr,3:57.880,7/26/1994
edgar m. de oliveira,3:58.380,9/17/1991,3:53.300,5/26/1996,,,,,,,,bra,3:53.300,5/26/1996
joaquim cruz,3:53.000,5/13/1984,,,3:53.000,"westwood, ca (usa)",5/13/1984,,,,3/12/1963,bra,3:53.000,5/13/1984
hudson santos de souza,3:56.260,2/10/2001,,,3:51.050,oslo (nor),7/29/2005,3:56.260,"fayetteville, ar (usa)",2/10/2001,2/25/1977,bra,3:51.050,7/29/2005
thiago andre,3:51.990,5/27/2017,,,3:51.990,"hayward field, eugene, or (usa)",5/27/2017,,,,8/4/1995,bra,3:51.990,5/27/2017
edgar martins de oliveira,3:58.460,2/6/1994,,,3:53.300,"eugene, or (usa)",5/26/1996,3:58.460,"fairfax, va (usa)",2/6/1994,11/11/1967,bra,3:53.300,5/26/1996
wander do prado moura,3:58.200,4/15/1995,,,3:58.200,"walnut, ca (usa)",4/15/1995,,,,2/22/1969,bra,3:58.200,4/15/1995
benson seurei,3:56.780,6/15/2013,,,3:56.780,heidelberg (ger),6/15/2013,,,,3/27/1984,brn,3:56.780,6/15/2013
rashid ramzi,3:51.330,6/4/2005,,,3:51.330,"eugene, or (usa)",6/4/2005,,,,7/17/1980,brn,3:51.330,6/4/2005
belal mansoor ali,3:52.350,6/15/2007,,,3:52.350,oslo (nor),6/15/2007,3:57.890,lievin (fra),2/10/2009,10/17/1988,brn,3:52.350,6/15/2007
moncho marinov,3:58.900,7/9/1974,,,3:58.900,kobenhavn (den),7/9/1974,,,,1/15/1953,bul,3:58.900,7/9/1974
martin prodanov,3:57.650,2/26/2022,,,,,,3:57.650,"gilliam indoor track, college station, tx (usa)",2/26/2022,12/16/1999,bul,3:57.650,2/26/2022
mark davidson,3:59.970,2/7/2009,,,,,,3:59.970,"south bend, in (usa)",2/7/2009,12/31/1985,can,3:59.970,2/7/2009
william paulson,3:59.940,1/26/2019,,,3:52.420,"hayward field, eugene, or (usa)",5/28/2022,3:58.030,"dempsey indoor, seattle, wa (usa)",2/13/2021,11/17/1994,can,3:52.420,5/28/2022
adam palamar,3:59.910,2/14/2015,,,,,,3:57.390,"boston, ma (usa)",1/28/2017,3/12/1994,can,3:57.390,1/28/2017
jay cantin,3:59.900,2/5/2000,,,3:58.840,burnaby (can),7/1/2004,,,,4/23/1977,can,3:58.840,7/1/2004
michael coccia,3:59.900,6/6/2021,,,3:59.900,"montgomery bell academy, nashville, tn (usa)",6/6/2021,,,,6/20/1905,can,3:59.900,6/6/2021
nathan brannen,3:59.850,7/8/2001,,,3:52.630,"eugene, or (usa)",6/7/2009,3:54.320,"new york, ny (usa)",2/15/2014,9/8/1982,can,3:52.630,6/7/2009
kevin robertson,3:59.850,2/15/2020,,,,,,3:57.980,"boston univ. track & tennis center, boston, ma (usa)",2/27/2022,9/28/1998,can,3:57.980,2/27/2022
ben hubers,3:59.830,1/25/2013,,,,,,3:59.830,"bloomington, in (usa)",1/25/2013,12/22/1988,can,3:59.830,1/25/2013
cameron levins,3:59.800,1/30/2010,,,,,,3:54.740,"new york, ny (usa)",1/31/2015,3/28/1989,can,3:54.740,1/31/2015
paul craig,3:59.800,6/10/1974,,,3:57.210,berlin (ger),8/8/1980,,,,9/2/1953,can,3:57.210,8/8/1980
greg duhaime,3:59.800,8/8/1981,,,3:59.800,burnaby (can),8/8/1981,,,,8/11/1953,can,3:59.800,8/8/1981
jack sheffar,3:59.790,1/27/2023,,,,,,3:59.790,"boston univ. track & tennis center, boston, ma (usa)",1/27/2023,6/18/1905,can,3:59.790,1/27/2023
alec purnell,3:59.720,2/11/2023,,,,,,3:59.720,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,6/22/1905,can,3:59.720,2/11/2023
jason bunston,3:59.700,4/10/1995,,,3:59.700,"hot springs village, ar (usa)",4/1/1995,3:59.460,"fayetteville, ar (usa)",1/21/1996,5/12/1972,can,3:59.460,1/21/1996
kyle boorsma,3:59.670,6/11/2009,,,3:59.670,toronto (can),6/11/2009,,,,4/18/1988,can,3:59.670,6/11/2009
jeremy rae,3:59.620,2/6/2011,,,,,,3:57.250,"south bend, in (usa)",2/8/2014,5/19/1991,can,3:57.250,2/8/2014
ross proudfoot,3:59.620,7/8/2014,,,3:59.620,cork (irl),7/8/2014,,,,7/4/1992,can,3:59.620,7/8/2014
paul steeds,3:59.600,4/12/1980,,,3:59.500,toronto (can),8/8/1982,,,,5/11/1905,can,3:59.500,8/8/1982
alec ritchie,3:59.590,6/16/1983,,,3:59.590,burnaby (can),6/16/1983,,,,5/14/1905,can,3:59.590,6/16/1983
justyn knight,3:59.510,1/31/2015,,,3:59.080,cork city (irl),8/14/2019,3:55.820,"boston, ma (usa)",1/27/2018,7/19/1996,can,3:55.820,1/27/2018
kelly britz,3:59.500,6/10/1983,,,3:58.460,burnaby (can),7/16/1984,,,,3/29/1958,can,3:58.460,7/16/1984
scott macdonald,3:59.400,2/5/1994,,,,,,3:59.400,"south bend, in (usa)",2/5/1994,8/24/1973,can,3:59.400,2/5/1994
robert denault,3:59.390,2/24/2013,,,,,,3:58.250,"university park, pa (usa)",1/31/2015,4/27/1993,can,3:58.250,1/31/2015
matt lincoln,3:59.390,1/27/2007,,,,,,3:59.390,"university park, pa (usa)",1/27/2007,7/30/1982,can,3:59.390,1/27/2007
kevin sullivan,3:59.290,6/19/1993,,,3:50.260,"bislett stadion, oslo (nor)",7/28/2000,3:55.330,"indianapolis, in (usa)",3/11/1995,3/20/1974,can,3:50.260,7/28/2000
rob lonergan,3:59.290,7/18/1986,,,3:58.100,gateshead (gbr),8/5/1986,,,,10/8/1959,can,3:58.100,8/5/1986
foster malleck,3:59.180,2/11/2023,,,,,,3:59.180,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,8/12/2001,can,3:59.180,2/11/2023
ron becht,3:59.120,6/16/1983,,,3:59.120,burnaby (can),6/16/1983,,,,2/25/1958,can,3:59.120,6/16/1983
dave bailey,3:59.100,6/11/1966,,,3:57.700,toronto (can),7/22/1967,,,,3/17/1945,can,3:57.700,7/22/1967
norm trerise,3:59.100,6/5/1970,,,3:59.100,"eugene, or (usa)",6/5/1970,,,,6/3/1947,can,3:59.100,6/5/1970
grant mclaren,3:59.000,7/29/1972,,,3:59.000,"eugene, or (usa)",7/7/1972,,,,8/19/1948,can,3:59.000,7/29/1972
thomas riva,3:59.000,2/14/2015,,,,,,3:59.000,"seattle, wa (usa)",2/14/2015,1/31/1992,can,3:59.000,2/14/2015
ken lucks,3:58.960,7/16/1984,,,3:58.960,burnaby (can),7/16/1984,,,,1/7/1962,can,3:58.960,7/16/1984
