Number,Time,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
24,3:53.12,Charles PHILIBERT-THIBOUTOT,31 Dec 1990,CAN,7,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1220,1
25,3:53.16,Samuel TANNER,24 Aug 2000,NZL,4,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1160,1
26,3:53.17,Colin SAHLMAN,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1219,1
26,3:53.17,Benjamin ALLEN,17 Apr 1998,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1219,1
28,3:53.22,Callum ELSON,31 Dec 1998,GBR,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1219,1
29,3:53.38,Matt WISNER,21 May 1998,USA,1f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1217,1
30,3:53.41,Cooper TEARE,18 Aug 1999,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1216,1
31,3:53.54,Isaac BASTEN,21 Nov 2000,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1215,1
32,3:53.64,Joe WASKOM,12 Apr 2001,USA,3f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1154,1
33,3:53.70,Waleed SULIMAN,22 Sep 1998,USA,4,,"Dempsey Indoor, Seattle, WA (USA) (i)",23 Feb 2024,1153,1
34,3:53.74,Nathan GREEN,10 Apr 2003,USA,4f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1153,1
35,3:53.78,Jesse HUNT,28 Jul 1998,AUS,5,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1152,1
36,3:53.85,Liam MURPHY,04 Feb 2002,USA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1210,1
37,3:54.12,Rob NAPOLITANO,03 Nov 1994,PUR,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1207,1
38,3:54.15,Mario GARCÍA,29 Jun 1999,ESP,10,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1206,1
39,3:54.16,Charlie O'DONOVAN,06 Aug 1999,IRL,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1206,1
40,3:54.17,Parker WOLFE,27 Jul 2003,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1206,1
41,3:54.28,Noah BALTUS,03 Feb 2002,NED,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1205,1
42,3:54.48,Nick FOSTER,03 Oct 2000,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1202,1
43,3:54.56,Tshepo TSHITE,15 Jan 1997,RSA,2,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1201,1
44,3:54.61,Ronan MCMAHON-STAGGS,01 Sep 2002,IRL,5f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1142,1
45,3:54.62,Abel TEFFRA,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1200,1
46,3:54.82,Lucas BONS,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1197,1
46,3:54.82,Mike FOPPEN,29 Nov 1996,NED,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1197,1
48,3:54.84,Ryoma AOKI,16 Jun 1997,JPN,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1197,1
49,3:55.17,Isaac UPDIKE,21 Mar 1992,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1193,1
50,3:55.20,Jye EDWARDS,06 Mar 1998,AUS,6,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1134,1
51,3:55.39,Steven JACKSON,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1190,1
52,3:55.41,Parvej KHAN,26 Dec 2004,IND,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1190,1
53,3:55.42,Ruben VERHEYDEN,22 Dec 2000,BEL,3,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1189,1
54,3:55.46,Abraham ALVARADO,04 Aug 1995,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1189,1
55,3:55.52,Brian Muange MUSAU,2006,KEN,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1188,1
56,3:55.53,Matt STRANGIO,31 Jul 2001,USA,1f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1130,1
56,3:55.53,John GREGOREK,07 Dec 1991,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1188,1
56,3:55.53,Jack SALISBURY,05 Jan 1998,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1188,1
59,3:55.80,Foster MALLECK,12 Aug 2001,CAN,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1184,1
60,3:55.93,Yasin SADO,,USA,3f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1183,1
61,3:55.96,Yohanes ASMARE,29 Mar 2006,ETH,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1182,1
61,3:55.96,Camden MARSHALL,01 May 2003,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1182,1
63,3:56.04,Kipkemboi Laban KIPTUM,10 Jan 2000,KEN,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1181,1
64,3:56.06,Brett MEYER,17 Dec 1996,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1181,1
65,3:56.15,Gary MARTIN,,USA,2,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1180,1
66,3:56.16,Callum DAVIES,18 Jul 1999,AUS,2f1,,"Cooks Gardens, Whanganui (NZL)",27 Jan 2024,1122,1
67,3:56.23,Evan DORENKAMP,24 Dec 2000,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1179,1
68,3:56.24,Marco LANGON,31 Aug 2004,USA,4f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1179,1
69,3:56.30,Benoit CAMPION,12 Feb 1998,FRA,4,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1178,1
70,3:56.38,Sam ELLIS,20 Oct 1998,USA,6f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1119,1
70,3:56.38,Miguel COCA,,USA,1f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1119,1
72,3:56.43,Austen DALQUIST,16 Nov 1995,USA,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1176,1
73,3:56.56,Henry MCLUCKIE,03 May 2002,GBR,2f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1117,1
74,3:56.63,Jesse HAMLIN,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1174,1
75,3:56.77,Austin MILLER,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1172,1
76,3:56.83,Hillary CHERUIYOT,,KEN,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1171,1
77,3:57.00,Cameron PROCEVIAT,20 Sep 1993,CAN,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1169,1
78,3:57.01,Parker SCHNEIDER,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1169,1
79,3:57.03,Jonathan GRAHN,30 Dec 2004,SWE,6,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1168,1
80,3:57.11,Paul ROBINSON,24 May 1991,IRL,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1167,1
81,3:57.20,Tyler WIRTH,,USA,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1166,1
82,3:57.21,István SZÖGI,12 Sep 1995,HUN,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1166,1
83,3:57.23,Camden GILMORE,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1166,1
84,3:57.25,Matthew WILKINSON,27 Dec 1998,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1165,1
84,3:57.25,Ryan ADAMS,25 Jul 1996,MEX,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1165,1
86,3:57.26,James DUNNE,26 May 2001,IRL,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1165,1
87,3:57.31,Kang NYOAK,05 Mar 2000,AUS,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1165,1
87,3:57.31,Parker STOKES,05 Sep 2000,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1165,1
89,3:57.43,Benjamin GODISH,,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1163,1
90,3:57.60,Paul RYAN,29 May 1997,USA,6,,"Armory Track&Field Center, New York, NY (USA) (i)",27 Jan 2024,1161,1
91,3:57.70,Macauley FRANKS,,USA,3f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1103,1
92,3:58.00,Davis BOVE,17 Oct 2000,USA,2f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1099,1
93,3:58.02,Daelen ACKLEY,,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1155,1
93,3:58.02,Thomas KEEN,16 Jun 2001,GBR,7,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1099,1
95,3:58.07,Thomas MORAN,27 Nov 1993,IRL,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1155,1
95,3:58.07,Sean DONOGHUE,22 Sep 2002,IRL,3,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1155,1
97,3:58.16,Nathan MOUNTAIN,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1153,1
98,3:58.18,Leo DASCHBACH,04 Oct 2001,USA,7f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1097,1
99,3:58.22,Aarón LAS HERAS,22 Jun 2000,ESP,1f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1096,1
100,3:58.25,Baptiste MISCHLER,23 Nov 1997,FRA,7,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 24,,1
101,3:58.26,Ben NAGEL,27 Apr 2000,USA,2f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1152,1
102,3:58.28,Oisín Ó GAILÍN,14 Mar 1997,IRL,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1152,1
102,3:58.28,Ryan KINNANE,,USA,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1152,1
104,3:58.34,Vivien HENZ,24 Aug 2004,LUX,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1151,1
104,3:58.34,Ethan STRAND,,USA,3,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1151,1
106,3:58.39,Will ANTHONY,30 Aug 2003,NZL,4f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1150,1
107,3:58.41,Samuel FIELD,22 May 2000,AUS,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1150,1
108,3:58.42,Isaiah LABRA,,USA,2f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1094,1
109,3:58.50,John GAY,07 Nov 1996,CAN,8f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1093,1
110,3:58.54,Joe EWING,17 Feb 2002,GBR,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1148,1
111,3:58.56,Shane BRACKEN,14 Jun 1998,IRL,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1148,1
112,3:58.57,Alec PURNELL,2000,CAN,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1148,1
112,3:58.57,Wes PORTER,,USA,5f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1148,1
114,3:58.59,Austin HASKETT,,USA,1f3,,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA) (i)",19 Jan 2024,1148,1
115,3:58.65,Caleb FUTTER,,USA,1,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1091,1
116,3:58.69,Cruz GOMEZ,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1147,1
117,3:58.70,Kevin ROBERTSON,28 Sep 1998,CAN,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1146,1
118,3:58.75,Garrett MACQUIDDY,,USA,5f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1146,1
118,3:58.75,Wyatt HAUGHTON,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1146,1
120,3:58.77,Ezekiel ROP,,KEN,3f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1146,1
121,3:58.78,Benne ANDERSON,,USA,1f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1145,1
122,3:58.81,Wil SMITH,,USA,4f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1089,1
123,3:58.83,James DONAHUE,,USA,7f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1145,1
124,3:58.85,Nanami ARAI,26 Dec 1994,JPN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1144,1
125,3:58.87,Cole SPROUT,03 Dec 2001,USA,4f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1088,1
126,3:58.92,Ferenc Soma KOVÁCS,14 Jun 2004,HUN,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1144,1
127,3:58.93,Christian NOBLE,21 Apr 1997,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1143,1
128,3:58.95,Michael MIRELES,,USA,5f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1087,1
129,3:58.96,Nick DAHL,25 Aug 1998,USA,8f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1143,1
130,3:59.01,Carter SOLOMON,,USA,2,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1087,1
131,3:59.02,Kian DAVIS,25 Apr 2001,GBR,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1142,1
132,3:59.03,Keisuke MORITA,19 Oct 1995,JPN,6f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1142,1
133,3:59.05,Cooper CAWTHRA,,USA,3f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1142,1
133,3:59.05,Vincent MAURI,,USA,3,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1086,1
135,3:59.14,Jack CRULL,13 Feb 2002,USA,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1141,1
136,3:59.21,Matthew BEAUDET,28 Feb 2000,CAN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1140,1
136,3:59.21,Ethan COLEMAN,,USA,3f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1140,1
136,3:59.21,Sam GILMAN,20 Sep 2000,USA,4,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1140,1
136,3:59.21,Kevin ROBERTSON,13 Jul 2001,CAN,7f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1140,1
140,3:59.22,Nicholas BENDTSEN,,USA,2f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",20 Jan 2024,1140,1
141,3:59.24,Max DAVIES,19 Dec 2003,CAN,1f2,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1139,1
141,3:59.24,Joseph TUFFIN,24 Jun 1999,GBR,1f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1139,1
143,3:59.26,Noah KIBET,12 Apr 2004,KEN,10,,"Armory Track&Field Center, New York, NY (USA) (i)",27 Jan 2024,1139,1
144,3:59.27,Thomas BOYDEN,,USA,6f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1083,1
145,3:59.31,Ethan COLEMAN,28 Apr 2004,USA,4,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",03 Feb 2024,1083,1
146,3:59.33,Tyler BILYARD,08 Oct 2001,GBR,2f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1138,1
147,3:59.34,Matthew CENTROWITZ,18 Oct 1989,USA,6f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1083,1
148,3:59.35,Derek JOHNSON,11 Oct 1999,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1138,1
149,3:59.38,Spencer PICKREN,,USA,7f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1082,1
150,3:59.39,Winslow ATKESON,,USA,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1137,1
151,3:59.41,Liam BACK,01 Jan 2002,NZL,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1137,1
152,3:59.45,Damian HACKETT,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1137,1
153,3:59.49,Jake GEBHARDT,,USA,9f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1136,1
154,3:59.50,Nick PLANT,,USA,4f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1136,1
155,3:59.52,Damien DILCHER,,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",25 Feb 2024,1136,1
156,3:59.54,Evan JENKINS,29 Mar 2004,USA,8f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1080,1
157,3:59.55,Joshua THOMPSON,09 May 1993,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 Feb 2024,1135,1
157,3:59.55,Declan RYMER,,USA,5f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",03 Feb 2024,1135,1
157,3:59.55,Rory LEONARD,13 Feb 2001,GBR,3f1,,"Lee Valley Athletics Centre, London (GBR) (i)",07 Feb 2024,1135,1
160,3:59.57,Evan ADDISON,18 Feb 2000,USA,3f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",20 Jan 2024,1135,1
161,3:59.59,Freddy COLLINS,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1135,1
162,3:59.61,Hibiki OBARA,10 Nov 2001,JPN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1135,1
163,3:59.71,Ben SHEARER,,USA,4f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1133,1
163,3:59.71,Dalton HENGST,12 Dec 1999,USA,1f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1078,1
165,3:59.72,Robert HEPPENSTALL,28 Feb 1997,CAN,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1133,1
166,3:59.75,Charles HARDERS,,USA,2f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1078,1
167,3:59.79,Oliver NEWMAN,07 May 2000,GBR,4f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1077,1
168,3:59.81,Evan THORNTON-SHERMAN,16 Mar 2004,USA,3f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1077,1
169,3:59.83,Jacob LEWIS,,USA,4f1,,"Vanderbilt Multipurpose Facility, Nashville, TN (USA) (i)",09 Feb 2024,1077,1
170,3:59.87,Jojo JOURDON,,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",03 Feb 2024,1131,1
170,3:59.87,Ryoji TATEZAWA,16 May 1997,JPN,8,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1076,1
172,3:59.88,Silas WINDERS,,USA,1f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 Feb 2024,1131,1
173,3:59.89,Abdel LAADJEL,09 Sep 2003,IRL,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1131,1
174,3:59.91,Reuben REINA,,USA,2f5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 Jan 2024,1131,1
174,3:59.91,Ahmed JAZIRI,16 Dec 1997,TUN,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1131,1
176,3:59.93,Paul SPECHT,13 Dec 2002,GER,8f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1130,1
176,3:59.93,Eric ZULKOFSKE,10 Aug 2000,USA,2f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1130,1
178,3:59.96,Sean KORSMO,19 Nov 2002,USA,5,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1130,1
179,3:59.98,Martin PRODANOV,16 Dec 1999,BUL,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1130,1
