Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
25,3:51.72,,Johnathan RENIEWICKI,03 Oct 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1239,
26,3:51.73,,Luke HOUSER,02 May 2001,USA,1f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1178,
27,3:51.82,,Abel KIPSANG,22 Nov 1996,KEN,12,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1177,
28,3:51.89,,Waleed SULIMAN,22 September 1998,USA,1,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1176,
29,3:51.91,,Anass ESSAYI,18 May 2001,MAR,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1236,
30,3:51.92,,Casey COMBER,04 November 1996,USA,5,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1236,
31,3:52.05,,Craig ENGELS,1 May 1994,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1235,
32,3:52.06,,Cathal DOYLE,12 November 1997,IRL,1,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1174,
33,3:52.30,,Elliot GILES,26 May 1994,GBR,11,,"Olympic Stadium, London (GBR)",20 Jul 2024,1171,
34,3:52.32,,Samuel PRAKEL,29 Oct 1994,USA,2,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1171,
35,3:52.41,,Brian FAY,9 Nov 1998,IRL,3,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1170,
36,3:52.50,,Samuel PIHLSTRÖM,8 Mar 2001,SWE,1,,"Ryavallen, Borås (SWE)",21 Aug 2024,1169,
37,3:52.61,,Josh HOEY,01 Nov 1999,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",07 Dec 2024,1227,
38,3:52.62,,Henry WYNNE,18 Apr 1995,USA,1,,"Dempsey Indoor, Seattle, WA (USA) (i)",23 Feb 2024,1167,
39,3:52.63,,Festus LAGAT,10 Oct 1996,KEN,2,,"Meredith College, Raleigh, NC (USA)",02 Aug 2024,1167,
40,3:52.66,,Thomas VANOPPEN,19 Sep 1999,BEL,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1226,
41,3:52.67,,Charles GRETHEN,2 Jun 1992,LUX,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1226,
42,3:52.70,,Adam SPENCER,4 Oct 2001,AUS,6,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1226,
42,3:52.70,,Luke MCCANN,12 Mar 1998,IRL,2,,"Østerbro Stadium, Copenhagen (DEN)",3 Sep 2024,1166,
44,3:52.71,,Benjamin ALLEN,17 Apr 1998,USA,4f2,,"Armory Track&Field Center, New York, NY (USA) (i)",2 Mar 2024,1226,
45,3:52.79,,Ky ROBINSON,27 Feb 2002,AUS,2,,"Ryavallen, Borås (SWE)",21 Aug 2024,1165,
46,3:52.80,,Paul ANSELMINI,2 August 2003,FRA,3,,"Østerbro Stadium, Copenhagen (DEN)",03 Sep 2024,1165,
47,3:52.81,,AJ ERNST,28 Aug 1998,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1224,
47,3:52.81,,Sam GILMAN,20 Sep 2000,USA,3,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1165,
49,3:53.00,,Sean MCGORTY,8 Mar 1995,USA,4,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1162,
50,3:53.09,,Brannon KIDDER,18 Nov 1993,USA,2f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1161,
50,3:53.09,,Cooper TEARE,18 Aug 1999,USA,1f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1161,
52,3:53.12,,Charles PHILIBERT-THIBOUTOT,31 Dec 1990,CAN,7,,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1220,
53,3:53.16,,Samuel TANNER,24 Aug 2000,NZL,4,,"Lakeside Stadium, Melbourne (AUS)",15 February 2024,1160,
54,3:53.17,,Colin SAHLMAN,28 Oct 2003,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1219,
55,3:53.22,,Callum ELSON,31 Dec 1998,GBR,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1219,
56,3:53.36,,Thomas KEEN,16 Jun 2001,GBR,4,,"Østerbro Stadium, Copenhagen (DEN)",3 Sep 2024,1158,
57,3:53.38,,Matt WISNER,21 May 1998,USA,1f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",3 Feb 2024,1217,
58,3:53.42,,Joe WASKOM,12 Apr 2001,USA,4,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1157,
59,3:53.54,,Isaac BASTEN,21 Nov 2000,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1215,
60,3:53.57,,Paul RYAN,29 May 1997,USA,5,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1155,
61,3:53.64,,Kasey KNEVELBAARD,2 Sep 1996,USA,6,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1154,
62,3:53.67,,Nathan GREEN,10 Apr 2003,USA,1,,"Munster Technological University Track, Cork (IRL)",9 Jul 2024,1154,
63,3:53.69,,James GORMLEY,3 Apr 1998,GBR,2f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1153,
64,3:53.78,,Jesse HUNT,28 Jul 1998,AUS,5,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1152,
65,3:53.82,,Lamecha GIRMA,26 Nov 2000,ETH,13,,"Hayward Field, Eugene, OR (USA)",25 May 2024,1152,
66,3:53.85,,Liam MURPHY,4 Feb 2002,USA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1210,
67,3:54.11,,Mick STANOVSEK,16 Jan 1997,AUS,9,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1148,
68,3:54.12,,Rob NAPOLITANO,3 Nov 1994,PUR,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1207,
69,3:54.15,,Tinoda MATSATSA,20 Sep 2004,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",7 Dec 2024,1206,
70,3:54.16,,Charlie O'DONOVAN,06 Aug 1999,IRL,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1206,
71,3:54.17,,Parker WOLFE,27 Jul 2003,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1206,
72,3:54.28,,Noah BALTUS,3 Feb 2002,NED,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1205,
73,3:54.43,,Mohad ABDIKADAR SHEIK ALI,12 Jun 1993,ITA,6,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1144,
73,3:54.43,,Tyler BILYARD,08 Oct 2001,GBR,3f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1144,
75,3:54.48,,Nick FOSTER,3 Oct 2000,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1202,
75,3:54.48,,Henry MCLUCKIE,3 May 2002,GBR,4f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1143,
77,3:54.56,,Tshepo TSHITE,15 Jan 1997,RSA,1,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1201,
77,3:54.56,,Maël GOUYETTE,21 May 1999,FRA,7,,"Østerbro Stadium, Copenhagen (DEN)",3 Sep 2024,1142,
79,3:54.61,,Ronan MCMAHON-STAGGS,1 Sep 2002,IRL,5f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1142,
80,3:54.62,,Abel TEFFRA,23 Jan 2002,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1200,
81,3:54.63,,Jackson SHARP,21 Aug 2000,AUS,7,,"Morton Stadium, Santry, Dublin (IRL)",12 Jul 2024,1141,
82,3:54.72,,Kieran TUNTIVATE,16 Feb 1997,THA,5f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1140,
83,3:54.73,,Piers COPELAND,26 November 1998,GBR,8,,"Østerbro Stadium, Copenhagen (DEN)",03 Sep 2024,1140,
83,3:54.73,,Kipkemboi Laban KIPTUM,10 Jan 2000,KEN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",7 Dec 2024,1199,
85,3:54.82,,Lucas BONS,09 Oct 1999,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 January 2024,1197,
85,3:54.82,,Mike FOPPEN,29 Nov 1996,NED,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1197,
87,3:54.84,,Ryoma AOKI,16 June 1997,JPN,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1197,
88,3:54.91,,Duncan HAMILTON,14 Jul 2000,USA,6f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1138,
89,3:54.92,,Sam PARSONS,18 Jun 1994,GER,7,,"Ryavallen, Borås (SWE)",21 August 2024,1138,
90,3:55.07,,Archie DAVIS,16 Oct 1998,GBR,13,,"Olympic Stadium, London (GBR)",20 Jul 2024,1136,
91,3:55.17,,Isaac UPDIKE,21 Mar 1992,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1193,
92,3:55.20,,Jye EDWARDS,6 Mar 1998,AUS,6,,"Lakeside Stadium, Melbourne (AUS)",15 Feb 2024,1134,
93,3:55.38,,Jean-Simon DESGAGNÉS,26 Jul 1998,CAN,8,,"Ryavallen, Borås (SWE)",21 Aug 2024,1132,
94,3:55.39,,Steven JACKSON,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1190,
95,3:55.41,,Parvej KHAN,26 Dec 2004,IND,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1190,
96,3:55.42,,Ruben VERHEYDEN,22 Dec 2000,BEL,2,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1189,
97,3:55.46,,Abraham ALVARADO,4 Aug 1995,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1189,
98,3:55.50,,Adehena KASAYE,13 Sep 2003,ETH,9,,"Østerbro Stadium, Copenhagen (DEN)",3 Sep 2024,1130,
99,3:55.52,,Brian Muange MUSAU,29 Dec 2006,KEN,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1188,
100,3:55.53,,Matt STRANGIO,31 Jul 2001,USA,1f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1130,
100,3:55.53,,John GREGOREK,7 December 1991,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 February 2024,1188,
100,3:55.53,,Jack SALISBURY,5 Jan 1998,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1188,
103,3:55.56,,Osian PERRIN,21 Jan 2003,GBR,7f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1130,
104,3:55.57,,Damien DILCHER,18 Oct 1998,USA,1f1,,"Christian Brothers Academy, Middletown, NY (USA)",29 Aug 2024,1130,
105,3:55.71,,Sean DONOGHUE,22 September 2002,IRL,8,,"Morton Stadium, Santry, Dublin (IRL)",12 July 2024,1128,
106,3:55.80,,Foster MALLECK,12 August 2001,CAN,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1184,
107,3:55.89,,Andrew MCGILL,18 Feb 2004,GBR,9f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1126,
108,3:55.92,,Jaxson HOEY,27 Dec 1997,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",7 Dec 2024,1183,
109,3:55.93,,Yasin SADO,10 Mar 2001,USA,3f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1183,
110,3:55.96,,Yohanes ASMARE,29 Mar 2006,ETH,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1182,
110,3:55.96,,Camden MARSHALL,1 May 2003,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",9 Feb 2024,1182,
112,3:56.03,,Alexander STITT,10 Jul 2001,AUS,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",07 Dec 2024,1181,
113,3:56.04,,Ben VEATCH,1 Jun 1998,USA,1,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1124,
114,3:56.06,,Brett MEYER,17 Dec 1996,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1181,
115,3:56.09,,Athanas KIOKO,26 February 1995,KEN,10,,"Meredith College, Raleigh, NC (USA)",2 Aug 2024,1123,
116,3:56.11,,Kane ELLIOTT,19 Jan 2002,GBR,10f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1123,
117,3:56.15,,Gary MARTIN,23 Dec 2003,USA,2,,"The Track at New Balance, Boston, MA (USA) (i)",24 Feb 2024,1180,
117,3:56.15,,Ossama MESLEK,08 Jan 1997,ITA,1f1,,"Oxford University Track, Oxford (GBR)",6 May 2024,1122,
119,3:56.16,,Callum DAVIES,18 Jul 1999,AUS,2f1,,"Cooks Gardens, Whanganui (NZL)",27 Jan 2024,1122,
120,3:56.17,,Sair SALGADO,,USA,2f1,,"Christian Brothers Academy, Middletown, NY (USA)",29 Aug 2024,1122,
121,3:56.23,,Evan DORENKAMP,24 Dec 2000,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 February 2024,1179,
122,3:56.24,,Marco LANGON,31 Aug 2004,USA,4f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1179,
123,3:56.28,,Rick VAN RIEL,15 Feb 2002,NED,1f2,,"University of Stirling Track, Stirling (GBR)",24 August 2024,1121,
124,3:56.30,,Benoit CAMPION,12 Feb 1998,FRA,3,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 January 2024,1178,
125,3:56.38,,Sam ELLIS,20 Oct 1998,USA,6f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1119,
125,3:56.38,,Miguel COCA,,USA,1f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1119,
127,3:56.43,,Austin DALQUIST,16 Nov 1995,USA,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 February 2024,1176,
128,3:56.47,,Derek JOHNSON,11 Oct 1999,USA,3f1,,"Christian Brothers Academy, Middletown, NY (USA)",29 Aug 2024,1118,
129,3:56.63,,Jesse HAMLIN,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1174,
130,3:56.65,,Leo MAGNUSSON,4 Feb 1998,SWE,9,,"Ryavallen, Borås (SWE)",21 Aug 2024,1116,
131,3:56.66,,James YOUNG,29 Dec 1997,GBR,11f1,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1116,
132,3:56.77,,Austin MILLER,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1172,
133,3:56.83,,Hillary CHERUIYOT,,KEN,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 Feb 2024,1171,
134,3:56.89,,Olin HACKER,21 May 1997,USA,2,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1113,
135,3:57.00,,Cameron PROCEVIAT,20 Sep 1993,CAN,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1169,
136,3:57.01,,Parker SCHNEIDER,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1169,
137,3:57.03,,Jonathan GRAHN,30 Dec 2004,SWE,5,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1168,
138,3:57.06,,Jason CLAYTON,15 May 2001,AUS,3,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1111,
139,3:57.11,,Paul ROBINSON,24 May 1991,IRL,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1167,
140,3:57.14,,Nick DAHL,25 Aug 1998,USA,6,,"Franklin Field, Philadelphia, PA (USA)",27 Apr 2024,1110,
141,3:57.18,,Aidan RYAN,,USA,7,,"Franklin Field, Philadelphia, PA (USA)",27 Apr 2024,1109,
142,3:57.20,,Tyler WIRTH,,USA,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1166,
143,3:57.21,,István SZÖGI,12 September 1995,HUN,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1166,
144,3:57.23,,Camden GILMORE,13 Sep 2000,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1166,
145,3:57.25,,Matthew WILKINSON,27 Dec 1998,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1165,
145,3:57.25,,Ryan ADAMS,25 Jul 1996,MEX,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1165,
147,3:57.26,,James DUNNE,26 May 2001,IRL,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1165,
148,3:57.31,,Kang NYOAK,05 Mar 2000,AUS,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1165,
148,3:57.31,,Parker STOKES,5 Sep 2000,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",3 Feb 2024,1165,
150,3:57.32,,Ahmed MUHUMED,01 Jan 1998,USA,5,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1108,
150,3:57.32,,Shane STREICH,19 Sep 1996,USA,10,,"Ryavallen, Borås (SWE)",21 Aug 2024,1108,
152,3:57.43,,Benjamin GODISH,,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1163,
153,3:57.44,,Vidar JOHANSSON,8 Oct 1996,SWE,11,,"Ryavallen, Borås (SWE)",21 Aug 2024,1106,
154,3:57.62,,Caleb WEBB,1997,USA,6,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1104,
155,3:57.70,,Macauley FRANKS,,USA,3f21,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1103,
156,3:57.72,,Drew GRIFFITH,,USA,1,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1103,
157,3:57.73,,Ethan STRAND,19 Oct 2002,USA,5h1,,"The Track at New Balance, Boston, MA (USA) (i)",8 Mar 2024,1159,
158,3:57.78,,Simon SUNDSTRÖM,04 Feb 1998,SWE,12,,"Ryavallen, Borås (SWE)",21 Aug 2024,1102,
159,3:57.81,,Anas LAGTIY CHAOUDAR,17 Jan 2004,ESP,9,,"Munster Technological University Track, Cork (IRL)",9 Jul 2024,1102,
160,3:57.98,,Jake GILLUM,,USA,9,,"Saint Louis University High School, Saint Louis, MO (USA)",30 May 2024,1099,
161,3:58.00,,Davis BOVE,17 Oct 2000,USA,2f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",24 Feb 2024,1099,
162,3:58.02,,Daelen ACKLEY,,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 Feb 2024,1155,
162,3:58.02,,Max WHARTON,8 Jul 1996,GBR,1f1,,"Mary Peters Track, Belfast (GBR)",15 June 2024,1099,
164,3:58.05,,Job IJTSMA,16 Jun 2000,NED,11,,"Munster Technological University Track, Cork (IRL)",9 Jul 2024,1099,
165,3:58.07,,Thomas MORAN,27 Nov 1993,IRL,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1155,
166,3:58.16,,Nathan MOUNTAIN,27 Aug 2002,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1153,
167,3:58.18,,Leo DASCHBACH,04 Oct 2001,USA,7f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1097,
168,3:58.22,,Aarón LAS HERAS,22 Jun 2000,ESP,1f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1096,
169,3:58.25,,Baptiste MISCHLER,23 Nov 1997,FRA,6,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",28 Jan 2024,1152,
170,3:58.26,,Ben NAGEL,27 Apr 2000,USA,2f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",3 Feb 2024,1152,
171,3:58.28,,Oisín Ó GAILÍN,14 Mar 1997,IRL,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1152,
171,3:58.28,,Ryan KINNANE,,USA,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 Jan 2024,1152,
173,3:58.34,,Vivien HENZ,24 Aug 2004,LUX,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1151,
174,3:58.39,,Will ANTHONY,30 Aug 2003,NZL,4f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1150,
175,3:58.41,,Samuel FIELD,22 May 2000,AUS,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1150,
176,3:58.42,,Isaiah LABRA,,USA,2f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",10 Feb 2024,1094,
177,3:58.46,,Beck WITTSTADT,9 Jul 2002,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",07 Dec 2024,1150,
178,3:58.50,,John GAY,07 Nov 1996,CAN,8f22,,"Dempsey Indoor, Seattle, WA (USA) (i)",27 Jan 2024,1093,
179,3:58.54,,Joe EWING,17 Feb 2002,GBR,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 Feb 2024,1148,
180,3:58.56,,Shane BRACKEN,14 Jun 1998,IRL,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1148,
181,3:58.57,,Alec PURNELL,4 Jan 2000,CAN,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1148,
181,3:58.57,,Wes PORTER,18 Sep 2001,USA,5f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 Jan 2024,1148,
183,3:58.59,,Austin HASKETT,,USA,1f3,,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA) (i)",19 Jan 2024,1148,
184,3:58.65,,Caleb FUTTER,,USA,1,,"Loftus Sports Center, Notre Dame, IN (USA) (i)",3 Feb 2024,1091,
185,3:58.68,,Ben CLARIDGE,12 Nov 1997,GBR,2f2,,"University of Stirling Track, Stirling (GBR)",24 Aug 2024,1091,
185,3:58.68,,Max DAVIES,19 Dec 2003,CAN,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",07 Dec 2024,1147,
187,3:58.69,,Cruz GOMEZ,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1147,
187,3:58.69,,Callum MORGAN,18 Jun 2003,IRL,3f1,,"Mary Peters Track, Belfast (GBR)",15 Jun 2024,1091,
189,3:58.70,,Kevin ROBERTSON,28 Sep 1998,CAN,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 Jan 2024,1146,
190,3:58.75,,Garrett MACQUIDDY,,USA,5f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 Feb 2024,1146,
