Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
38,3:53.29,,Abel TEFFRA,23 Jan 2002,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1218,
39,3:53.36,,Samuel TANNER,24 Aug 2000,NZL,1f1,,"Cooks Gardens, Whanganui (NZL)",24 Jan 2026,1158,
40,3:53.38,,James GORMLEY,3 Apr 1998,IRL,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1217,
41,3:53.57,,Sam ELLIS,20 Oct 1998,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1214,
42,3:53.60,,Isaac BASTEN,21 Nov 2000,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1214,
43,3:53.62,,Aidan RYAN,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1213,
44,3:53.69,,Oliver HOARE,29 Jan 1997,AUS,9,,"Armory Track&Field Center, New York, NY (USA) (i)",1 Feb 2026,1213,
45,3:53.76,,Fouad MESSAOUDI,7 Jan 2001,MAR,3f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1212,
46,3:53.85,,Cooper CAWTHRA,,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1210,
47,3:53.86,,Tomas PALFREY,8 Feb 2003,AUS,4f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1210,
48,3:53.90,,Jaouad KHCHINA,3 Feb 2006,MAR,5f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1210,
49,3:54.00,,Flavien SZOT,6 Sep 2001,FRA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",24 Jan 2026,1208,
50,3:54.35,,Connor MCCORMICK,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1204,
51,3:54.37,,Devan KIPYEGO,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1203,
52,3:54.40,,Brannon KIDDER,18 Nov 1993,USA,4f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1144,
53,3:54.43,,Tyler BILYARD,8 Oct 2001,GBR,5f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 January 2026,1144,
54,3:54.52,,Adam FOGG,27 Jan 1999,GBR,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1201,
55,3:54.56,,Brendan HERGER,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1201,
56,3:54.58,,Waleed SULIMAN,22 Sep 1998,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1201,
57,3:54.64,,Colton SANDS,,USA,2f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",31 Jan 2026,1200,
57,3:54.64,,Pietro ARESE,08 Oct 1999,ITA,1,,"Palaindoor, Padova (ITA) (i)",31 Jan 2026,1200,
59,3:54.75,,Nick PLANT,30 Oct 2003,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1198,
60,3:54.88,,Nathan MOUNTAIN,27 Aug 2002,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1197,
61,3:54.90,,Nick SLOFF,,USA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",30 Jan 2026,1196,
62,3:54.98,,Liam LYONS,29 Nov 2004,IRL,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1195,
63,3:55.03,,Vincent Kibet KETER,11 Mar 2002,KEN,1,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",1 Feb 2026,1195,
64,3:55.18,,Joe WASKOM,12 Apr 2001,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1193,
65,3:55.22,,Matthew ENDRÖDY,11 Apr 2005,RSA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1192,
66,3:55.27,,Levi STREEVAL,,USA,1f1,,"Norton Sports Center, Louisville, KY (USA) (i)",31 Jan 2026,1191,
67,3:55.28,,James DUNNE,26 May 2001,IRL,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1191,
68,3:55.35,,Ruben VERHEYDEN,22 Dec 2000,BEL,2,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",1 Feb 2026,1190,
69,3:55.37,,Callum ELSON,31 Dec 1998,GBR,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1190,
70,3:55.42,,Jonathan PODBIELSKI,21 Jun 2004,CAN,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1189,
71,3:55.49,,Brett GARDNER,6 Oct 2001,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1189,
72,3:55.52,,Sean DOLAN,19 Mar 2001,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",24 Jan 2026,1188,
73,3:55.56,,Tor HORTUNG-DAVIDSEN,,USA,3f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",31 Jan 2026,1188,
74,3:55.62,,Eric HOLT,12 May 1995,USA,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1187,
75,3:55.69,,Austin DALQUIST,16 Nov 1995,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1186,
76,3:55.73,,Rheinhardt HARRISON,15 Feb 2004,USA,1f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 Feb 2026,1128,
77,3:55.78,,James HARDING,06 Nov 2003,NZL,6f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1185,
78,3:55.84,,Ronan MCMAHON-STAGGS,01 Sep 2002,IRL,1f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1126,
79,3:55.85,,Robin LEFEBVRE,10 Dec 2006,CAN,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1184,
79,3:55.85,,Alex RILEY,5 Dec 2005,GBR,8f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1184,
81,3:55.88,,Simeon BIRNBAUM,23 Jun 2005,USA,9f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1183,
82,3:55.90,,Nelson MAPI,23 May 2006,KEN,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 Feb 2026,1183,
83,3:55.91,,Lawi Kiplangat NGETICH,30 August 2008,KEN,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1183,
84,3:55.98,,Carson WILLIAMS,12 Feb 2002,USA,4f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1182,
85,3:56.01,,Damien DILCHER,18 Oct 1998,USA,5f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 February 2026,1182,
86,3:56.05,,Christopher CAUDILLO,5 Aug 2005,USA,7f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1124,
87,3:56.13,,Robin BERA,,KEN,1f1,,"Lied Recreation Center, Ames, IA (USA) (i)",23 Jan 2026,1123,
88,3:56.17,,Leo YOUNG,28 Feb 2005,USA,4f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 Feb 2026,1122,
89,3:56.18,,Nuno PEREIRA,27 Nov 2000,POR,3,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",01 February 2026,1179,
90,3:56.25,,Mario GARCÍA,29 Jun 1999,ESP,7f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1179,
91,3:56.29,,Bradley GIBLIN,30 Jul 2004,GBR,2f1,,"Norton Sports Center, Louisville, KY (USA) (i)",31 Jan 2026,1178,
91,3:56.29,,Viktor IDHAMMAR,16 Jun 2003,SWE,8f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1178,
93,3:56.34,,Lughaidh MALLON,28 Oct 2005,IRL,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1177,
94,3:56.38,,Craig ENGELS,1 May 1994,USA,4,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",1 Feb 2026,1177,
95,3:56.67,,Noah BALTUS,3 Feb 2002,NED,5,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",1 Feb 2026,1173,
96,3:56.72,,Jesse HAMLIN,,USA,1f1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 Jan 2026,1172,
97,3:56.76,,Archie NOAKES,9 Dec 2004,AUS,1f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",6 Feb 2026,1172,
98,3:56.77,,Ryo HIGUCHI,21 Jan 2005,JPN,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1172,
99,3:56.78,,Arthur GERVAIS,28 Feb 2000,FRA,6,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",1 Feb 2026,1172,
100,3:56.81,,Henry DIXON,14 Mar 2007,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1171,
101,3:56.87,,Quenton WALION,,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 February 2026,1170,
102,3:56.96,,Clay SHIVELY,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1169,
103,3:57.00,,Jonas PRICE,24 Oct 2001,USA,6f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",16 Jan 2026,1112,
103,3:57.00,,Johnathan RENIEWICKI,3 Oct 1995,USA,9,,"Armory Track&Field Center, New York, NY (USA) (i)",24 Jan 2026,1169,
105,3:57.18,,Hamza CHAHID,7 November 2001,MAR,1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",7 February 2026,1166,
106,3:57.19,,Christopher SULLIVAN,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1166,
107,3:57.21,,Evan JENKINS,29 Mar 2004,USA,9f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1109,
108,3:57.26,,Jamar DISTEL,11 Jan 2004,USA,10f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1108,
109,3:57.34,,Garrett MACQUIDDY,12 Dec 2001,USA,3f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 Feb 2026,1107,
110,3:57.40,,Luke SIMPSON,24 Jun 2004,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1163,
111,3:57.47,,Oussama ALLAOUI,25 Jun 2004,MAR,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1162,
112,3:57.75,,Benjámin BALÁZS,2 Jun 2004,USA,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1159,
113,3:57.76,,AJ ERNST,28 Aug 1998,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1159,
114,3:57.78,,Joshua ABRAHAM,15 Jun 2005,FRA,4f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 Feb 2026,1102,
115,3:57.80,,Shane STREICH,19 September 1996,USA,3f1,,"Norton Sports Center, Louisville, KY (USA) (i)",31 Jan 2026,1158,
116,3:57.89,,Matan IVRI,26 May 2002,ISR,2f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",6 Feb 2026,1157,
117,3:57.90,,Louis-Lys FANUCCHI,11 May 2006,FRA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1157,
118,3:57.97,,Charlie O'DONOVAN,06 Aug 1999,IRL,1f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",24 January 2026,1156,
119,3:58.01,,Ben REYNOLDS,,GBR,1f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1155,
120,3:58.02,,James SCHMIDT,,USA,4f1,,"Norton Sports Center, Louisville, KY (USA) (i)",31 Jan 2026,1155,
121,3:58.06,,Bryn WOODALL,,GBR,1f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",21 February 2026,1155,
122,3:58.07,,Riley FLEMINGTON,21 Mar 2004,CAN,3f1,,"Michigan University U-M Indoor Track, Ann Arbor, MI (USA) (i)",17 Jan 2026,1155,
123,3:58.10,,Roan KELLY,,USA,2f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 February 2026,1154,
124,3:58.11,,Justin PRETRE,25 Jun 2005,CAN,3f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 January 2026,1098,
125,3:58.14,,Justin WACHTEL,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1154,
126,3:58.17,,Andrew MANGUM,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1153,
127,3:58.23,,Hamdani BENAHMED,18 May 2001,ALG,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 February 2026,1153,
128,3:58.24,,Duncan ROBINSON,15 Jul 2002,GBR,1f1,,"Armory Track&Field Center, New York, NY (USA) (i)",24 Jan 2026,1152,
129,3:58.29,,Sila KIPLAGAT,,KEN,1f6,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 Feb 2026,1096,
130,3:58.35,,James DARGAN,17 Sep 2005,GBR,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1151,
131,3:58.43,,Liam NEWHART,29 Mar 2005,USA,3f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",6 Feb 2026,1150,
132,3:58.45,,Charles BARRETT,23 May 2007,AUS,1f1,,"Lakeside Stadium, Melbourne (AUS)",07 Feb 2026,1094,
133,3:58.46,,Luc LE BARON,5 Feb 2002,FRA,10,,"Armory Track&Field Center, New York, NY (USA) (i)",24 Jan 2026,1150,
134,3:58.48,,Benjamin THOMAS,10 Sep 2004,AUS,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1149,
135,3:58.53,,Clayborn PENDER,04 May 2000,USA,1f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",30 Jan 2026,1149,
136,3:58.55,,Laban KIPKEMBOI,8 Aug 2002,KEN,10f1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1148,
137,3:58.58,,Grant GROSVENOR,3 Jun 1992,USA,5f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1092,
137,3:58.58,,Oliver PATTON,15 Sep 2006,GBR,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 Feb 2026,1148,
139,3:58.59,,Collin BOLER,,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1148,
140,3:58.62,,Owen POWELL,,USA,12f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1091,
141,3:58.69,,Ondřej GAJDOŠ,4 Jan 2004,CZE,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",31 Jan 2026,1147,
142,3:58.73,,Jon SWEEPE,,USA,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 Feb 2026,1146,
143,3:58.76,,Colin PEATTIE,,USA,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1146,
144,3:58.77,,Aiden COLES,2004,CAN,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1146,
145,3:58.79,,Carson SMITH,,USA,5f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",13 Feb 2026,1089,
146,3:58.81,,Williams LEWIS,24 Sep 2000,AUS,2f1,,"Lakeside Stadium, Melbourne (AUS)",7 Feb 2026,1089,
147,3:58.82,,Brian MASAI,,KEN,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1145,
147,3:58.82,,Zak FREELAND,31 Aug 2004,GBR,3f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1145,
149,3:58.89,,Pol MOLINS,8 Feb 2007,ESP,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1144,
150,3:58.98,,Christopher KNIGHT,,USA,2f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",21 Feb 2026,1143,
151,3:58.99,,Salih TEKSÖZ,1 Jan 1994,TUR,1,,"Emirates Arena, Glasgow (GBR) (i)",31 Jan 2026,1143,
151,3:58.99,,Jack HENZKE,,USA,1f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1143,
153,3:59.00,,Bryce GILMORE,,USA,1f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",17 Jan 2026,1143,
154,3:59.01,,Acer IVERSON,,USA,6f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1087,
154,3:59.01,,Mohamed DAHMOUCH,11 Oct 2001,MAR,2f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1142,
156,3:59.02,,Riley SMITH,,USA,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1142,
157,3:59.03,,William MUIRHEAD,,USA,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 Jan 2026,1142,
158,3:59.04,,Drew ZUNDELL,,USA,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1142,
159,3:59.07,,Riley WITT,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1142,
159,3:59.07,,Nick MARTIN,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1142,
159,3:59.07,,Sair SALGADO,,USA,9f1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",14 Feb 2026,1142,
162,3:59.13,,Simone VALDUGA,21 Jul 2004,ITA,2,,"Palaindoor, Padova (ITA) (i)",31 Jan 2026,1141,
162,3:59.13,,Eric GIBSON,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 February 2026,1141,
162,3:59.13,,Alex THOMPSON,,USA,2f6,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 Feb 2026,1085,
165,3:59.19,,Will DALEY,,USA,3f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1140,
166,3:59.22,,Ian SÁNCHEZ,20 Jul 2003,MEX,1f4,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 Feb 2026,1084,
167,3:59.28,,Rhys HAMMOND,,USA,7f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1083,
168,3:59.29,,Evan NOONAN,,USA,1f7,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 Feb 2026,1083,
169,3:59.33,,Spencer PICKREN,,USA,8f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1083,
169,3:59.33,,Julius DIEHR,21 Feb 1997,USA,9f1,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1083,
169,3:59.33,,Matthew NEWELL,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1138,
172,3:59.34,,Bailey HABLER,11 Aug 2004,AUS,2f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",24 Jan 2026,1138,
173,3:59.37,,Myles HOGAN,,USA,2f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",30 Jan 2026,1138,
174,3:59.38,,Kutoven STEVENS,,USA,3f6,,"Dempsey Indoor, Seattle, WA (USA) (i)",14 Feb 2026,1082,
175,3:59.40,,Maxime TOURON,30 Sep 2003,FRA,1f5,,"Hughes Fieldhouse, Maryville, MO (USA) (i)",17 Jan 2026,1082,
176,3:59.41,,Josiah TOSTENSON,,USA,13f2,,"Dempsey Indoor, Seattle, WA (USA) (i)",30 Jan 2026,1082,
177,3:59.42,,Nicholas LYNDAKER,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1137,
178,3:59.45,,Caleb EASTON,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1137,
179,3:59.46,,Lucas BONS,9 Oct 1999,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1137,
180,3:59.50,,Ryan MARTIN,10 Oct 2003,GBR,2,,"Emirates Arena, Glasgow (GBR) (i)",31 Jan 2026,1136,
180,3:59.50,,Camden GILMORE,13 Sep 2000,PAR,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",22 Feb 2026,1136,
182,3:59.53,,Rok MARKELJ,14 Apr 2000,SLO,,,"Palaindoor, Padova (ITA) (i)",31 Jan 2026,1136,
183,3:59.54,,Louis O'LOUGHLIN,01 Sep 2001,IRL,2f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",13 Feb 2026,1136,
