Number,Time,Na,Name,DOB,Country,Heat,,Location,Date,Points,Indoor
17,3:48.83,,Robert FARKEN,20 Sep 1997,GER,3,,"Olympiastadion, Berlin (GER)",27 July 2025,1216,
18,3:48.93,,Festus LAGAT,10 Oct 1996,KEN,11,,"Hayward Field, Eugene, OR (USA)",5 July 2025,1215,
19,3:49.02,,Stefan NILLESSEN,2 Jan 2003,NED,3,,"Bislett Stadion, Oslo (NOR)",12 Jun 2025,1214,
20,3:49.16,,Anass ESSAYI,18 May 2001,MAR,6,,"Bislett Stadion, Oslo (NOR)",12 Jun 2025,1212,
20,3:49.16,,Elliot GILES,26 May 1994,GBR,7,,"Bislett Stadion, Oslo (NOR)",12 Jun 2025,1212,
22,3:49.21,,Adam SPENCER,04 Oct 2001,AUS,4,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1211,
23,3:49.22,,Neil GOURLEY,7 February 1995,GBR,6,,"Armory Track&Field Center, New York, NY (USA) (i)",8 Feb 2025,1273,
24,3:49.26,,Andrew COSCORAN,18 Jun 1996,IRL,7,,"Armory Track&Field Center, New York, NY (USA) (i)",08 Feb 2025,1273,
25,3:49.32,,Mohamed ABDILAAHI,24 Mar 1999,GER,5,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1210,
26,3:49.37,,Vincent CIATTEI,21 January 1995,USA,8,,"Bislett Stadion, Oslo (NOR)",12 Jun 2025,1209,
27,3:49.70,,Samuel PIHLSTRÖM,8 Mar 2001,SWE,9,,"Bislett Stadion, Oslo (NOR)",12 June 2025,1205,
28,3:49.85,,Adam FOGG,27 January 1999,GBR,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1264,
29,3:50.20,,Jude THOMAS,17 Mar 2002,AUS,6,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1198,
30,3:50.67,,Ruben VERHEYDEN,22 December 2000,BEL,12,,"Bislett Stadion, Oslo (NOR)",12 Jun 2025,1192,
30,3:50.67,,Joao BUSSOTTI NEVES,10 May 1993,ITA,7,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1192,
32,3:50.74,,Nathan GREEN,10 April 2003,USA,1f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 Jan 2025,1191,
33,3:50.77,,Oliver HOARE,29 Jan 1997,AUS,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 Mar 2025,1252,
34,3:50.80,,Ky ROBINSON,27 Feb 2002,AUS,1,,"Meredith College, Raleigh, NC (USA)",8 Aug 2025,1190,
35,3:50.83,,Filip RAK,3 Feb 2003,POL,8,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1190,
36,3:50.89,,Nico YOUNG,27 Jul 2002,USA,1,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1189,
37,3:50.93,,Abel KIPSANG,22 Nov 1996,KEN,14,,"Hayward Field, Eugene, OR (USA)",05 Jul 2025,1189,
38,3:51.14,,Luke HOUSER,02 May 2001,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 Mar 2025,1247,
39,3:51.26,,Cathal DOYLE,12 Nov 1997,IRL,2,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1184,
40,3:51.28,,Samuel PRAKEL,29 Oct 1994,USA,2f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 Jan 2025,1184,
41,3:51.49,,Sam GILMAN,20 Sep 2000,USA,5,,"Hayward Field, Eugene, OR (USA)",5 Jul 2025,1182,
42,3:51.85,,Ronan MCMAHON-STAGGS,1 Sep 2002,IRL,3f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 Jan 2025,1177,
42,3:51.85,,Samuel TANNER,24 Aug 2000,NZL,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1237,
44,3:51.89,,Kieran LUMB,2 Aug 1998,CAN,3,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1176,
45,3:51.97,,Jack ANSTEY,8 Apr 1997,AUS,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 Mar 2025,1236,
46,3:51.99,,Darragh MCELHINNEY,9 November 2000,IRL,3,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1175,
47,3:52.06,,Jimmy GRESSIER,4 May 1997,FRA,9,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1174,
48,3:52.39,,Sean MCGORTY,8 Mar 1995,USA,3,,"Meredith College, Raleigh, NC (USA)",8 Aug 2025,1170,
49,3:52.42,,Nicholas GRIGGS,18 Dec 2004,IRL,4,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1170,
50,3:52.44,,Abel TEFFRA,23 Jan 2002,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",08 Feb 2025,1229,
51,3:52.48,,Joe WASKOM,12 Apr 2001,USA,4,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1169,
52,3:52.66,,Fouad MESSAOUDI,7 Jan 2001,MAR,1f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",1 Feb 2025,1226,
53,3:52.67,,Flavien SZOT,6 Sep 2001,FRA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 February 2025,1226,
54,3:52.71,,Steven JACKSON,,USA,1f1,,"The Track at New Balance, Boston, MA (USA) (i)",14 Feb 2025,1226,
55,3:52.73,,Tyler BILYARD,08 Oct 2001,GBR,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1225,
56,3:52.81,,Simeon BIRNBAUM,23 Jun 2005,USA,2f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",1 Feb 2025,1224,
56,3:52.81,,Johnathan RENIEWICKI,3 Oct 1995,USA,4,,"Meredith College, Raleigh, NC (USA)",8 Aug 2025,1165,
58,3:52.82,,Colin SAHLMAN,28 Oct 2003,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 Feb 2025,1224,
59,3:52.83,,Aidan MCCARTHY,1 Sep 2002,USA,5,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1164,
60,3:52.86,,Henry WYNNE,18 Apr 1995,USA,6,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1164,
61,3:52.87,,Harrison WITT,4 Oct 2002,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1224,
62,3:52.98,,Brian FAY,09 Nov 1998,IRL,5,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1162,
63,3:52.99,,Eric HOLT,12 May 1995,USA,2,,"Christian Brothers Academy, Middletown, NY (USA)",28 Aug 2025,1162,
64,3:53.13,,Derek JOHNSON,11 Oct 1999,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1220,
65,3:53.15,,Stewart MCSWEYN,01 Jun 1995,AUS,6,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1160,
66,3:53.17,,Abraham ALVARADO,4 Aug 1995,USA,3,,"Christian Brothers Academy, Middletown, NY (USA)",28 Aug 2025,1160,
67,3:53.20,,Jackson SHARP,21 Aug 2000,AUS,7,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1160,
68,3:53.29,,Laban KIPKEMBOI,8 Aug 2002,KEN,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",21 Feb 2025,1218,
68,3:53.29,,Benjamin ALLEN,17 Apr 1998,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 Mar 2025,1218,
70,3:53.38,,Mick STANOVSEK,16 Jan 1997,AUS,3f1,,"The Track at New Balance, Boston, MA (USA) (i)",14 Feb 2025,1217,
71,3:53.57,,Amon KEMBOI,10 Dec 1995,KEN,4f1,,"The Track at New Balance, Boston, MA (USA) (i)",14 Feb 2025,1214,
72,3:53.60,,Charles PHILIBERT-THIBOUTOT,31 Dec 1990,CAN,4,,"Arena Stade Couvert, Liévin (FRA) (i)",13 Feb 2025,1214,
73,3:53.61,,Carson WILLIAMS,12 Feb 2002,USA,6,,"Meredith College, Raleigh, NC (USA)",8 Aug 2025,1154,
74,3:53.68,,Jochem VERMEULEN,02 Aug 1998,BEL,9,,"Armory Track&Field Center, New York, NY (USA) (i)",08 Feb 2025,1213,
75,3:53.72,,AJ ERNST,28 Aug 1998,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1212,
76,3:53.77,,Austin DALQUIST,16 Nov 1995,USA,2f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",21 Feb 2025,1211,
77,3:53.80,,Kristian Uldbjerg HANSEN,15 Aug 1996,DEN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",8 Feb 2025,1211,
77,3:53.80,,Yasin SADO,10 Mar 2001,USA,7,,"Meredith College, Raleigh, NC (USA)",8 Aug 2025,1152,
79,3:53.81,,Arthur GERVAIS,28 Feb 2000,FRA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",8 Feb 2025,1211,
80,3:53.82,,Foster MALLECK,12 Aug 2001,CAN,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1211,
81,3:53.90,,Max DAVIES,19 Dec 2003,CAN,1,,"PEPS de l'Université Laval, Quebec City (CAN)",25 Jul 2025,1151,
82,3:53.95,,Reuben REINA,1999,USA,3f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",1 Feb 2025,1209,
83,3:53.99,,Henry MCLUCKIE,03 May 2002,GBR,1f1,,"University of Stirling Track, Stirling (GBR)",30 Aug 2025,1150,
84,3:54.10,,Tshepo TSHITE,15 Jan 1997,RSA,5,,"Arena Stade Couvert, Liévin (FRA) (i)",13 Feb 2025,1207,
85,3:54.12,,Benne C. ANDERSON,24 Jun 2004,GER,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 February 2025,1207,
86,3:54.15,,Taha ER RAOUY,25 May 2002,MAR,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1206,
87,3:54.18,,Aidan RYAN,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 Mar 2025,1206,
88,3:54.20,,Alexander STITT,10 Jul 2001,AUS,3f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",21 Feb 2025,1206,
89,3:54.21,,Tomas PALFREY,08 Feb 2003,AUS,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 February 2025,1206,
90,3:54.23,,Emanuel GALDINO,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",8 Feb 2025,1205,
91,3:54.24,,Devan KIPYEGO,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",8 Feb 2025,1205,
92,3:54.32,,Damien DILCHER,18 Oct 1998,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1204,
93,3:54.37,,Jack SALISBURY,05 Jan 1998,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 Mar 2025,1203,
94,3:54.38,,Cooper CAWTHRA,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1203,
95,3:54.42,,Piers COPELAND,26 Nov 1998,GBR,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1203,
96,3:54.58,,Wes PORTER,18 Sep 2001,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1201,
97,3:54.59,,Marco LANGON,31 Aug 2004,USA,1,,"Munster Technological University Track, Cork (IRL)",9 Jul 2025,1142,
98,3:54.61,,Liam MURPHY,02 Apr 2002,USA,2f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",25 Jan 2025,1200,
99,3:54.62,,Justin KIPKOECH,18 Sep 1998,KEN,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1200,
99,3:54.62,,Marc TORTELL,26 Dec 1997,GER,11,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1142,
101,3:54.68,,Romain MORNET,8 November 1997,FRA,6,,"Arena Stade Couvert, Liévin (FRA) (i)",13 February 2025,1199,
102,3:54.72,,Kieran TUNTIVATE,16 Feb 1997,THA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1199,
103,3:54.74,,Rheinhardt HARRISON,15 Feb 2004,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1199,
104,3:54.78,,Brian Muange MUSAU,29 Dec 2006,KEN,4f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",1 Feb 2025,1198,
105,3:54.84,,Isaiah GIVENS,,USA,5,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",15 March 2025,1197,
106,3:54.97,,Cameron BOYEK,9 October 1993,GBR,2f1,,"University of Stirling Track, Stirling (GBR)",30 Aug 2025,1137,
107,3:55.04,,Cole LINDHORST,,USA,1f4,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 Jan 2025,1136,
108,3:55.07,,Shane BRACKEN,14 Jun 1998,IRL,8,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1136,
109,3:55.10,,Paul SPECHT,13 Dec 2002,GER,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1194,
110,3:55.18,,Paul ANSELMINI,02 Aug 2003,FRA,4,,"Atletická hala, Ostrava (CZE) (i)",4 Feb 2025,1193,
111,3:55.28,,Alexandre SELLES,19 Jun 2000,FRA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1191,
112,3:55.31,,Yaseen ABDALLA,13 Aug 2001,SUD,5f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",01 Feb 2025,1191,
113,3:55.37,,Matthew RAMSDEN,23 Jul 1997,AUS,9,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1132,
114,3:55.44,,George COUTTIE,15 Jan 2005,GBR,1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",7 Feb 2025,1189,
115,3:55.48,,Matthew BEAUDET,28 February 2000,CAN,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 Mar 2025,1189,
116,3:55.49,,Ryan FOWKES,23 Mar 2001,USA,4,,"Christian Brothers Academy, Middletown, NY (USA)",28 Aug 2025,1131,
117,3:55.51,,Viktor IDHAMMAR,16 Jun 2003,SWE,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1188,
117,3:55.51,,Santiago CATROFE,13 Feb 1999,URU,2,,"Munster Technological University Track, Cork (IRL)",9 July 2025,1130,
119,3:55.53,,Thomas DIAMOND,20 Jul 2004,AUS,7,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1130,
120,3:55.56,,Kasey KNEVELBAARD,2 September 1996,USA,5,,"Christian Brothers Academy, Middletown, NY (USA)",28 Aug 2025,1130,
121,3:55.61,,Nanami ARAI,26 Dec 1994,JPN,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 March 2025,1187,
122,3:55.62,,Morgan BEADLESCOMB,01 Jun 1998,USA,4,,"Falmouth High School, Falmouth, MA (USA)",15 Aug 2025,1129,
123,3:55.64,,Leo DASCHBACH,4 Oct 2001,USA,4f5,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 January 2025,1129,
124,3:55.65,,Waleed SULIMAN,22 Sep 1998,USA,4f1,,"University of Stirling Track, Stirling (GBR)",30 August 2025,1129,
125,3:55.66,,James GORMLEY,3 Apr 1998,IRL,2,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",07 Feb 2025,1186,
126,3:55.75,,Joshua THOMPSON,9 May 1993,USA,5f1,,"The Track at New Balance, Boston, MA (USA) (i)",14 Feb 2025,1185,
127,3:55.80,,Kane ELLIOTT,19 Jan 2002,GBR,5f1,,"University of Stirling Track, Stirling (GBR)",30 August 2025,1127,
128,3:55.82,,Sean DONOGHUE,22 Sep 2002,IRL,10,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1126,
129,3:55.84,,Emedy KIPLIMO,1996,KEN,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1184,
130,3:55.92,,James HARDING,6 Nov 2003,NZL,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",6 Dec 2025,1183,
131,3:55.93,,Jack CRULL,13 Feb 2002,USA,6f1,,"The Track at New Balance, Boston, MA (USA) (i)",14 Feb 2025,1183,
132,3:55.94,,Raphael PALLITSCH,18 Dec 1989,AUT,5,,"Atletická hala, Ostrava (CZE) (i)",04 Feb 2025,1183,
133,3:56.00,,Sam PARSONS,18 Jun 1994,GER,12,,"Olympiastadion, Berlin (GER)",27 Jul 2025,1124,
134,3:56.01,,Aiden NEAL,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1182,
135,3:56.09,,Ryan SCHOPPE,,USA,6f7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",1 Feb 2025,1181,
135,3:56.09,,Lughaidh MALLON,28 Oct 2005,IRL,3,,"Munster Technological University Track, Cork (IRL)",9 Jul 2025,1123,
137,3:56.10,,Dylan JACOBS,15 Jun 2000,USA,6,,"Falmouth High School, Falmouth, MA (USA)",15 Aug 2025,1123,
138,3:56.12,,Mario GARCÍA,29 Jun 1999,ESP,8,,"Meredith College, Raleigh, NC (USA)",08 Aug 2025,1123,
139,3:56.13,,Brogan GIFFIN,,USA,1f8,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",15 Feb 2025,1180,
140,3:56.15,,Damian HACKETT,,USA,6f1,,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",25 Jan 2025,1180,
141,3:56.19,,Charles WHEELER,4 Jul 1998,GBR,12,,"Morton Stadium, Santry, Dublin (IRL)",11 Jul 2025,1122,
142,3:56.22,,Callum DAVIES,18 Jul 1999,AUS,4,,"Munster Technological University Track, Cork (IRL)",9 Jul 2025,1121,
143,3:56.26,,Tinoda MATSATSA,20 September 2004,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",6 Dec 2025,1178,
144,3:56.28,,Craig ENGELS,01 May 1994,USA,1,,"St.Louis University High School, St. Louis (USA)",5 Jun 2025,1121,
145,3:56.29,,Jan FRIŠ,19 Dec 1995,CZE,6,,"Atletická hala, Ostrava (CZE) (i)",4 Feb 2025,1178,
146,3:56.37,,Jojo JOURDON,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1177,
147,3:56.38,,Pierre-Antoine ATTIOGBE,16 Mar 2005,FRA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",8 Feb 2025,1177,
148,3:56.39,,Eric GIBSON,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1177,
149,3:56.40,,Connor MCCORMICK,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1177,
150,3:56.43,,Martín SEGUROLA,1 Jul 2003,ESP,1f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",14 Feb 2025,1176,
151,3:56.45,,Lucas BONS,9 Oct 1999,USA,9,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1118,
152,3:56.46,,Joseph WIGFIELD,18 Jan 2000,GBR,5,,"Munster Technological University Track, Cork (IRL)",9 Jul 2025,1118,
153,3:56.48,,Aaron AHL,25 Feb 1999,CAN,3,,"PEPS de l'Université Laval, Quebec City (CAN)",25 Jul 2025,1118,
154,3:56.49,,Spencer PICKREN,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2 Mar 2025,1175,
155,3:56.52,,Olin HACKER,21 May 1997,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1175,
156,3:56.53,,Tom DODD,2 October 1998,GBR,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",1 Feb 2025,1175,
157,3:56.54,,Rogério AMARAL,19 Feb 2001,POR,1f1,,"South Carolina Indoor T&F Complex, Columbia, SC (USA) (i)",22 Feb 2025,1175,
158,3:56.58,,Camden GILMORE,13 Sep 2000,PAR,2,,"George Mason Stadium, Fairfax, VA (USA)",24 May 2025,1117,
159,3:56.65,,Christian NOBLE,21 Apr 1997,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1173,
159,3:56.65,,Jean-Simon DESGAGNÉS,26 Jul 1998,CAN,4,,"PEPS de l'Université Laval, Quebec City (CAN)",25 Jul 2025,1116,
161,3:56.66,,Owen POWELL,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1173,
162,3:56.71,,Acer IVERSON,,USA,2f9,,"Dempsey Indoor, Seattle, WA (USA) (i)",01 Feb 2025,1115,
163,3:56.76,,William CUTHBERTSON,8 Jan 2000,USA,1,,"Henderson HS, West Chester, PA (USA)",07 August 2025,1115,
164,3:56.78,,Sair SALGADO,,USA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",6 Dec 2025,1172,
165,3:56.79,,Shane STREICH,19 Sep 1996,USA,3f6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",01 Feb 2025,1171,
165,3:56.79,,Carter CUTTING,10 Jan 2005,USA,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",6 Dec 2025,1171,
167,3:56.85,,Geordie BEAMISH,24 Oct 1996,NZL,1,,"Franklin Field, Philadelphia, PA (USA)",26 Apr 2025,1113,
168,3:56.87,,Nick DAHL,25 Aug 1998,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 Feb 2025,1170,
168,3:56.87,,Joe EWING,17 Feb 2002,GBR,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1170,
170,3:56.90,,Mark MILNER,2 Aug 2000,IRL,2f4,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 Jan 2025,1113,
170,3:56.90,,Jack BRUCE,31 August 1994,AUS,2f1,,"Cooks Gardens, Whanganui (NZL)",25 Jan 2025,1113,
172,3:56.95,,Charlie O'DONOVAN,06 Aug 1999,IRL,3,,"George Mason Stadium, Fairfax, VA (USA)",24 May 2025,1112,
173,3:57.05,,Camden MARSHALL,1 May 2003,USA,5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",06 Dec 2025,1168,
174,3:57.09,,Habtom SAMUEL,30 Nov 2003,ERI,10,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1110,
175,3:57.12,,Nathan NEIL,,USA,4f9,,"Dempsey Indoor, Seattle, WA (USA) (i)",1 Feb 2025,1110,
176,3:57.21,,Clayborn PENDER,04 May 2000,USA,2f1,,"South Carolina Indoor T&F Complex, Columbia, SC (USA) (i)",22 Feb 2025,1166,
177,3:57.24,,Mark SHANNON,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1165,
178,3:57.26,,Martin BARCO,26 Jul 2005,USA,5f9,,"Dempsey Indoor, Seattle, WA (USA) (i)",1 Feb 2025,1108,
178,3:57.26,,Émile TOUPIN,15 Apr 2004,CAN,5,,"PEPS de l'Université Laval, Quebec City (CAN)",25 Jul 2025,1108,
180,3:57.29,,Jeffery ROGERS,,USA,7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",06 Dec 2025,1165,
181,3:57.35,,Thomas BOYDEN,,USA,3f4,,"Dempsey Indoor, Seattle, WA (USA) (i)",18 Jan 2025,1107,
182,3:57.45,,Braedon PALMER,,USA,1f1,,"Norton Sports Center, Louisville, KY (USA) (i)",1 Feb 2025,1163,
183,3:57.47,,Josiah TOSTENSON,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1162,
184,3:57.50,,Rhys HAMMOND,,USA,2f9,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1105,
185,3:57.51,,Caleb EASTON,,USA,1f8,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1105,
185,3:57.51,,Yusuf BIZIMANA,06 Sep 2000,GBR,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",21 Feb 2025,1162,
185,3:57.51,,Rick VAN RIEL,15 Feb 2002,NED,6f1,,"University of Stirling Track, Stirling (GBR)",30 Aug 2025,1105,
188,3:57.55,,Bennett BOOTH-GENTHE,,USA,3f9,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1105,
189,3:57.56,,Cole SPROUT,03 Dec 2001,USA,4f9,,"Dempsey Indoor, Seattle, WA (USA) (i)",15 Feb 2025,1105,
