Number,Time,Name,Country,DOB,Position,Location,Date
68,3:48.29,Grant Fisher,USA,22.04.97,9rA,Eugene,05.07.2025
69,3:48.31,Steve Cram,GBR,14.10.60,1,Oslo,05.07.1986
70,3:48.32,Hobbs Kessler,USA,15.03.03,10rA,Eugene,05.07.2025
71,3:48.37,Stewart McSweyn,AUS,01.06.95,1,Oslo,01.07.2021
72,3:48.38,Andrés Manuel Díaz,ESP,12.07.69,3,Roma,29.06.2001
72,3:48.38,Bernard Lagat,USA,12.12.74,2,Oslo,29.07.2005
74,3:48.40,Steve Ovett,GBR,09.10.55,1,Koblenz,26.08.1981
74,3:48.40,Stewart McSweyn,AUS,01.06.95,2,Eugene,21.08.2021
76,3:48.49,Daniel Kipchirchir Komen,KEN,27.11.84,3,Oslo,29.07.2005
77,3:48.50,Asbel Kiprop,KEN,30.06.89,1,Eugene,07.06.2009
78,3:48.53,Sebastian Coe,GBR,29.09.56,1,Zürich,19.08.1981
78,3:48.53,Steve Scott,USA,05.05.56,1,Oslo,26.06.1982
80,3:48.57,Bernard Lagat,KEN,12.12.74,2,Oslo,13.07.2001
81,3:48.59,Reynold Cheruiyot,KEN,30.07.04,6,Eugene,25.05.2024
82,3:48.60,Aman Wote,ETH,18.04.84,3rA,Eugene,31.05.2014
83,3:48.64,Noureddine Morceli,ALG,28.02.70,1,Nice,16.07.1997
83,3:48.64,Azeddine Habz,FRA,19.07.93,8,Eugene,16.09.2023
85,3:48.67,Noureddine Morceli,ALG,28.02.70,1,Sankt Peterburg,26.07.1994
86,3:48.69,Hicham El Guerrouj,MAR,14.09.74,2,Zürich,16.08.1995
87,3:48.73,Steve Scott,USA,05.05.56,2,Oslo,05.07.1986
88,3:48.78,Haron Keitany,KEN,17.12.83,2,Eugene,07.06.2009
89,3:48.8,Steve Ovett,GBR,09.10.55,1,Oslo,01.07.1980
89,3:48.80,William Kemei,KEN,22.02.69,1,Berlin,21.08.1992
91,3:48.83,Sydney Maree,USA,09.09.56,1,Rieti,09.09.1981
91,3:48.83,Robert Farken,GER,20.09.97,3,Berlin,27.07.2025
93,3:48.85,Sydney Maree,USA,09.09.56,2,Oslo,26.06.1982
93,3:48.85,Steve Cram,GBR,14.10.60,1,Oslo,02.07.1988
95,3:48.86,Ethan Strand,USA,19.10.02,1rB,Eugene,05.07.2025
96,3:48.87,Cameron Myers,AUS,09.06.06,2,Oslo,12.06.2025
97,3:48.92,Alan Webb,USA,13.01.83,4,Oslo,29.07.2005
98,3:48.93,Niels Laros,NED,17.09.05,9,Eugene,16.09.2023
98,3:48.93,Festus Lagat,KEN,10.10.96,11rA,Eugene,05.07.2025
100,3:48.94,Vénuste Niyongabo,BDI,09.12.73,1,Oslo,22.07.1994
101,3:48.95,Sebastian Coe,GBR,29.09.56,1,Oslo,17.07.1979
101,3:48.95,Deresse Mekonnen,ETH,20.10.87,1,Oslo,03.07.2009
101,3:48.95,Cole Hocker,USA,06.06.01,7,Eugene,25.05.2024
104,3:48.98,Craig Mottram,AUS,18.06.80,5,Oslo,29.07.2005
105,3:49.01,Hicham El Guerrouj,MAR,14.09.74,1,Paris,29.07.1998
106,3:49.02,Stefan Nillessen,NED,02.01.03,3,Oslo,12.06.2025
107,3:49.03,Oliver Hoare,AUS,29.01.97,1,London,20.07.2024
108,3:49.04,Ronald Kwemoi,KEN,18.09.95,1r2,Eugene,27.05.2017
109,3:49.06,Narve Gilje Nordås,NOR,30.09.98,2,London,20.07.2024
109,3:49.06,Timothy Cheruiyot,KEN,20.11.95,4,Oslo,12.06.2025
111,3:49.08,John Walker,NZL,12.01.52,2,Oslo,07.07.1982
111,3:49.08,Elijah Manangoi,KEN,05.01.93,2r2,Eugene,27.05.2017
113,3:49.09,Noureddine Morceli,ALG,28.02.70,1,Berlin,30.08.1996
113,3:49.09,Haron Keitany,KEN,17.12.83,1rA,Eugene,04.06.2011
113,3:49.09,Abdelati Iguider,MAR,25.03.87,4rA,Eugene,31.05.2014
113,3:49.09,George Beamish,NZL,24.10.96,8,Eugene,25.05.2024
117,3:49.11,Marcin Lewandowski,POL,13.06.87,2,Oslo,01.07.2021
117,3:49.11,Oliver Hoare,AUS,29.01.97,9,Eugene,25.05.2024
119,3:49.12,Saïd Aouita,MAR,02.11.59,1,Nice,13.07.1987
119,3:49.12,Noureddine Morceli,ALG,28.02.70,1,Lausanne,10.07.1991
119,3:49.12,Robert Farken,GER,20.09.97,5,Oslo,12.06.2025
122,3:49.16,Anass Essayi,MAR,18.05.01,6,Oslo,12.06.2025
122,3:49.16,Elliot Giles,GBR,26.05.94,7,Oslo,12.06.2025
124,3:49.20,Peter Elliott,GBR,09.10.62,2,Oslo,02.07.1988
125,3:49.21,Steve Scott,USA,05.05.56,1,Berlin,17.08.1983
125,3:49.21,Adel Mechaal,ESP,05.12.90,3,London,20.07.2024
125,3:49.21,Adam Spencer,AUS,04.10.01,4,Berlin,27.07.2025
128,3:49.22,Sebastian Coe,GBR,29.09.56,3,Oslo,27.07.1985
128,3:49.22,Jens-Peter Herold,GER,02.06.65,3,Oslo,02.07.1988
128,3:49.22,Asbel Kiprop,KEN,30.06.89,1,Oslo,07.06.2012
131,3:49.25,Steve Ovett,GBR,09.10.55,1,Oslo,11.07.1981
132,3:49.26,Matthew Centrowitz,USA,18.10.89,1,Portland,24.07.2021
133,3:49.27,Jye Edwards,AUS,06.03.98,3,Oslo,01.07.2021
134,3:49.29,William Biwott Tanui,KEN,05.03.90,2,Oslo,03.07.2009
135,3:49.31,Joe Falcon,USA,23.06.66,1,Oslo,14.07.1990
136,3:49.32,Stewart McSweyn,AUS,01.06.95,10,Eugene,16.09.2023
136,3:49.32,Mohamed Abildaahi,GER,24.03.99,5,Berlin,27.07.2025
138,3:49.34,David Moorcroft,GBR,10.04.53,3,Oslo,26.06.1982
138,3:49.34,Benjamin Kipkurui,KEN,28.12.80,3,Bruxelles,25.08.2000
140,3:49.37,Vincent Ciattei,USA,21.01.95,8,Oslo,12.06.2025
141,3:49.38,Andrew Baddeley,GBR,20.06.82,1,Oslo,06.06.2008
142,3:49.39,Silas Kiplagat,KEN,20.08.89,2rA,Eugene,04.06.2011
143,3:49.4,John Walker,NZL,12.01.52,1,Göteborg,12.08.1975
143,3:49.40,Abdi Bile,SOM,28.12.62,4,Oslo,02.07.1988
143,3:49.40,Asbel Kiprop,KEN,30.06.89,1,Eugene,02.06.2012
143,3:49.40,Charles Simotwo,KEN,05.06.95,4,Oslo,01.07.2021
147,3:49.41,Hicham El Guerrouj,MAR,14.09.74,1,London,22.07.2001
147,3:49.41,Neil Gourley,GBR,07.02.95,12rA,Eugene,05.07.2025
149,3:49.42,Sydney Maree,USA,09.09.56,1,Cork,13.07.1982
150,3:49.43,James Magut,KEN,20.07.90,5rA,Eugene,31.05.2014
151,3:49.45,Mike Boit,KEN,06.01.49,2,Bruxelles,28.08.1981
151,3:49.45,Samuel Tefera,ETH,23.10.99,1,London,21.07.2019
151,3:49.45,Niels Laros,NED,17.09.05,4,London,20.07.2024
154,3:49.46,Peter Elliott,GBR,09.10.62,1,Oslo,06.07.1991
155,3:49.48,Silas Kiplagat,KEN,20.08.89,1,Eugene,01.06.2013
156,3:49.49,Steve Scott,USA,05.05.56,1,Oslo,09.07.1983
156,3:49.49,Steve Cram,GBR,14.10.60,1,London,12.09.1986
156,3:49.49,William Chirchir,KEN,06.02.79,2,Roma,12.07.2002
156,3:49.49,Ayanleh Souleiman,DJI,03.12.92,1,Oslo,11.06.2014
160,3:49.50,John Walker,NZL,12.01.52,4,Oslo,26.06.1982
160,3:49.50,Rui Silva,POR,03.08.77,3,Roma,12.07.2002
162,3:49.51,Samuel Tanner,NZL,24.08.00,11,Eugene,16.09.2023
163,3:49.53,Asbel Kiprop,KEN,30.06.89,2,Eugene,01.06.2013
163,3:49.53,Stefan Nillessen,NED,02.01.03,13rA,Eugene,05.07.2025
165,3:49.54,Saïd Aouita,MAR,02.11.59,1,Zürich,22.08.1984
166,3:49.55,Asbel Kiprop,KEN,30.06.89,3rA,Eugene,04.06.2011
167,3:49.56,Fermin Cacho,ESP,16.02.69,2,Oslo,05.07.1996
167,3:49.56,Asbel Kiprop,KEN,30.06.89,1,Oslo,04.06.2010
167,3:49.56,Collins Cheboi,KEN,25.09.87,6rA,Eugene,31.05.2014
170,3:49.57,Steve Ovett,GBR,09.10.55,1,London,31.08.1979
170,3:49.57,Haron Keitany,KEN,17.12.83,1,Ostrava,17.06.2009
172,3:49.59,Stewart McSweyn,AUS,01.06.95,5,London,20.07.2024
173,3:49.60,José Antonio Redolat,ESP,17.02.76,4,Roma,29.06.2001
173,3:49.60,Filip Ingebrigtsen,NOR,20.04.93,2,London,21.07.2019
175,3:49.64,Timothy Cheruiyot,KEN,20.11.95,3r2,Eugene,27.05.2017
175,3:49.64,George Mills,GBR,12.05.99,1,Pfungstadt,06.09.2023
177,3:49.65,Steve Cram,GBR,14.10.60,1,Koblenz,29.08.1984
178,3:49.66,Steve Ovett,GBR,09.10.55,1,Lausanne,14.07.1981
179,3:49.67,José Luis González,ESP,08.12.57,2,Oslo,11.07.1981
180,3:49.68,Steve Scott,USA,05.05.56,3,Oslo,11.07.1981
180,3:49.68,Vincent Ciattei,USA,21.01.95,2rB,Eugene,05.07.2025
182,3:49.70,Haron Keitany,KEN,17.12.83,2,Oslo,06.06.2008
182,3:49.70,Mekonnen Gebremedhin,ETH,11.10.88,4rA,Eugene,04.06.2011
182,3:49.70,Samuel Pihlström,SWE,08.03.01,9,Oslo,12.06.2025
185,3:49.72,Steve Scott,USA,05.05.56,1,Koblenz,25.08.1982
185,3:49.72,Deresse Mekonnen,ETH,20.10.87,3,Oslo,06.06.2008
185,3:49.72,Federico Riva,ITA,09.11.00,10,Oslo,12.06.2025
188,3:49.73,John Walker,NZL,12.01.52,2,Berlin,17.08.1983
188,3:49.73,John Walker,NZL,12.01.52,2,Koblenz,29.08.1984
188,3:49.73,Gary Martin,USA,23.12.03,3rB,Eugene,05.07.2025
191,3:49.74,Mike Boit,KEN,06.01.49,2,Zürich,19.08.1981
192,3:49.75,Sydney Maree,USA,09.09.56,2,Koblenz,25.08.1982
192,3:49.75,Leonard Muchero Maina,KEN,13.06.78,5,Roma,29.06.2001
192,3:49.75,Asbel Kiprop,KEN,30.06.89,1rA,Eugene,03.07.2010
195,3:49.76,Peter Elliott,GBR,09.10.62,2,Oslo,14.07.1990
195,3:49.76,Jakob Ingebrigtsen,NOR,19.09.00,1,Eugene,28.05.2022
197,3:49.77,Ray Flynn,IRL,22.01.57,3,Oslo,07.07.1982
197,3:49.77,Wilfred Oanda Kirochi,KEN,12.12.69,2,Oslo,06.07.1991
197,3:49.77,Caleb Ndiku,KEN,09.10.92,5rA,Eugene,04.06.2011
200,3:49.79,Noureddine Morceli,ALG,28.02.70,2,Berlin,21.08.1992
201,3:49.80,Jim Spivey,USA,07.03.60,3,Oslo,05.07.1986
201,3:49.80,Vénuste Niyongabo,BDI,09.12.73,1,London,27.08.1995
203,3:49.83,Jim Spivey,USA,07.03.60,3,Oslo,06.07.1991
203,3:49.83,Vyacheslav Shabunin,RUS,27.09.69,6,Roma,29.06.2001
203,3:49.83,Mekonnen Gebremedhin,ETH,11.10.88,2,Oslo,04.06.2010
203,3:49.83,Nick Willis,NZL,25.04.83,2,Oslo,11.06.2014
207,3:49.84,Bernard Lagat,KEN,12.12.74,4,Bruxelles,25.08.2000
207,3:49.84,Paul Korir,KEN,15.07.77,1,London,30.07.2004
209,3:49.86,Homiyu Tesfaye,GER,23.06.93,3,Oslo,11.06.2014
210,3:49.87,John Kibowen,KEN,21.04.69,3,Oslo,28.07.2000
210,3:49.87,Timothy Cheruiyot,KEN,20.11.95,1rA,Eugene,26.05.2018
212,3:49.88,Aman Wote,ETH,18.04.84,3,Eugene,01.06.2013
213,3:49.90,Steve Cram,GBR,14.10.60,2,Cork,13.07.1982
213,3:49.90,Abdi Bile,SOM,28.12.62,1,Oslo,01.07.1989
215,3:49.91,Simon Doyle,AUS,09.11.66,4,Oslo,06.07.1991
215,3:49.91,Narve Gilje Nordås,NOR,30.09.98,11,Oslo,12.06.2025
217,3:49.92,Hicham El Guerrouj,MAR,14.09.74,1,Eugene,27.05.2001
218,3:49.93,Sydney Maree,USA,09.09.56,1,Aichach,16.09.1981
218,3:49.93,Steve Scott,USA,05.05.56,4,Oslo,27.07.1985
220,3:49.95,Steve Cram,GBR,14.10.60,3,Zürich,19.08.1981
220,3:49.95,Tarek Boukensa,ALG,19.11.81,6,Oslo,29.07.2005
222,3:49.98,Thomas Wessinghage,FRG,22.02.52,3,Berlin,17.08.1983
223,3:50.00,Caleb Ndiku,KEN,09.10.92,2,Oslo,07.06.2012
224,3:50.01,John Walker,NZL,12.01.52,3,Cork,13.07.1982
224,3:50.01,Steve Scott,USA,05.05.56,1,Koblenz,31.08.1983
224,3:50.01,Augustine Choge,KEN,21.01.87,1,London,27.07.2013
227,3:50.02,Mekonnen Gebremedhin,ETH,11.10.88,3,Oslo,07.06.2012
228,3:50.04,Ivan Heshko,UKR,19.08.79,2,London,30.07.2004
229,3:50.07,Ayanleh Souleiman,DJI,03.12.92,2,London,27.07.2013
230,3:50.08,Steve Cram,GBR,14.10.60,1,Oslo,04.07.1987
230,3:50.08,Jens-Peter Herold,GER,02.06.65,5,Oslo,06.07.1991
230,3:50.08,Mohammed Moustaoui,MAR,02.04.85,4,Oslo,06.06.2008
233,3:50.09,Steve Scott,USA,05.05.56,5,Oslo,02.07.1988
233,3:50.09,Saïd Aouita,MAR,02.11.59,1,Bruxelles,25.08.1989
235,3:50.12,John Walker,NZL,12.01.52,4,Zürich,19.08.1981
235,3:50.12,Hicham El Guerrouj,MAR,14.09.74,1,Oslo,28.06.2002
237,3:50.13,Laban Rotich,KEN,20.01.69,4,Berlin,26.08.1997
238,3:50.14,Augustine Choge,KEN,21.01.87,1,London,14.08.2010
238,3:50.14,Mario García,ESP,29.06.99,10,Eugene,25.05.2024
240,3:50.15,Cameron Myers,AUS,09.06.06,11,Eugene,25.05.2024
241,3:50.16,Laban Rotich,KEN,20.01.69,4,Roma,12.07.2002
241,3:50.16,Cameron Myers,AUS,09.06.06,6,London,20.07.2024
243,3:50.17,Mekonnen Gebremedhin,ETH,11.10.88,2,Eugene,02.06.2012
244,3:50.19,Thomas Wessinghage,FRG,22.02.52,3,Koblenz,25.08.1982
244,3:50.19,Adam Spencer,AUS,04.10.01,4rB,Eugene,05.07.2025
246,3:50.20,Hicham El Guerrouj,MAR,14.09.74,1,Rieti,07.09.2003
246,3:50.20,Jude Thomas,AUS,17.03.02,6,Berlin,27.07.2025
248,3:50.21,Bernard Lagat,KEN,12.12.74,1,Eugene,24.05.2003
248,3:50.21,Ayanleh Souleiman,DJI,03.12.92,3,Eugene,02.06.2012
250,3:50.22,Augustine Choge,KEN,21.01.87,3,Oslo,03.07.2009
250,3:50.22,Amine Laâlou,MAR,13.05.82,2rA,Eugene,03.07.2010
252,3:50.23,Steve Ovett,GBR,09.10.55,2,Rieti,09.09.1981
253,3:50.24,Gideon Gathimba,KEN,09.03.80,4,Oslo,07.06.2012
254,3:50.25,Alex Kipchirchir,KEN,26.11.84,2,Rieti,07.09.2003
255,3:50.26,John Walker,NZL,12.01.52,4,Oslo,11.07.1981
255,3:50.26,Kevin Sullivan,CAN,20.03.74,4,Oslo,28.07.2000
255,3:50.26,Asbel Kiprop,KEN,30.06.89,7rA,Eugene,31.05.2014
258,3:50.27,John Walker,NZL,12.01.52,2,Zürich,22.08.1984
259,3:50.28,Steve Scott,USA,05.05.56,1,Roma,10.09.1986
260,3:50.29,Noah Ngeny,KEN,02.11.78,3,Oslo,13.07.2001
260,3:50.29,Daniel Kipchirchir Komen,KEN,27.11.84,6rA,Eugene,04.06.2011
262,3:50.30,Sydney Maree,USA,09.09.56,4,Berlin,17.08.1983
262,3:50.30,Augustine Choge,KEN,21.01.87,5,Oslo,06.06.2008
262,3:50.30,Jake Wightman,GBR,11.07.94,3,Oslo,16.06.2022
265,3:50.31,Laban Rotich,KEN,20.01.69,5,Oslo,28.07.2000
266,3:50.32,John Mayock,GBR,26.10.70,3,Oslo,05.07.1996
266,3:50.32,Alex Kipchirchir,KEN,26.11.84,1,Oslo,02.06.2006
268,3:50.33,Saïd Aouita,MAR,02.11.59,1,Berlin,15.08.1986
268,3:50.33,Eric Dubus,FRA,28.02.66,3,Zürich,16.08.1995
270,3:50.34,Todd Harbour,USA,24.03.59,5,Oslo,11.07.1981
270,3:50.34,Sydney Maree,USA,09.09.56,1,Bruxelles,30.08.1985
272,3:50.35,Mekonnen Gebremedhin,ETH,11.10.88,2,London,14.08.2010
273,3:50.38,Steve Cram,GBR,14.10.60,6,Oslo,11.07.1981
273,3:50.38,Pierre Délèze,SUI,25.09.58,4,Koblenz,25.08.1982
275,3:50.39,James Kwalia,KEN,12.06.84,1rA,Hengelo,01.06.2003
276,3:50.40,Steve Holman,USA,02.03.70,5,Oslo,04.07.1997
276,3:50.40,Cornelius Chirchir,KEN,05.06.83,2,London,08.08.2003
276,3:50.40,Eliud Kipchoge,KEN,05.11.84,3,London,30.07.2004
276,3:50.40,Ayanleh Souleiman,DJI,03.12.92,4,Eugene,01.06.2013
280,3:50.41,Noah Ngeny,KEN,02.11.78,2,Nice,16.07.1997
281,3:50.42,Bethwell Birgen,KEN,06.08.88,5,Eugene,01.06.2013
282,3:50.43,Yenew Alamirew,ETH,27.05.90,7rA,Eugene,04.06.2011
282,3:50.43,Bethwell Birgen,KEN,06.08.88,4,Eugene,02.06.2012
282,3:50.43,Amine Laâlou,MAR,13.05.82,5,Oslo,07.06.2012
285,3:50.46,Caleb Ndiku,KEN,09.10.92,6,Eugene,01.06.2013
286,3:50.48,Adam Fogg,GBR,27.01.99,7,London,20.07.2024
287,3:50.49,Steve Ovett,GBR,09.10.55,1,Oslo,23.08.1983
287,3:50.49,Wilfred Oanda Kirochi,KEN,12.12.69,2,Oslo,01.07.1989
287,3:50.49,Shadrack Korir,KEN,14.12.78,1,Eugene,08.06.2008
287,3:50.49,Timothy Cheruiyot,KEN,20.11.95,1,Palo Alto,30.06.2019
287,3:50.49,Andrew Coscoran,IRL,18.06.96,8,London,20.07.2024
292,3:50.51,Mike Boit,KEN,06.01.49,2,Aichach,16.09.1981
293,3:50.52,Hauke Fuhlbrügge,GER,21.03.66,6,Oslo,06.07.1991
293,3:50.52,Jim Spivey,USA,07.03.60,2,Lausanne,10.07.1991
295,3:50.53,Gideon Gathimba,KEN,09.03.80,3,Oslo,04.06.2010
295,3:50.53,Ayanleh Souleiman,DJI,03.12.92,1,Oslo,13.06.2013
295,3:50.53,Matthew Centrowitz,USA,18.10.89,8rA,Eugene,31.05.2014
298,3:50.54,Ray Flynn,IRL,22.01.57,5,Oslo,26.06.1982
298,3:50.54,José Manuel Abascal,ESP,17.03.58,2,Roma,10.09.1986
298,3:50.54,Vyacheslav Shabunin,RUS,27.09.69,5,Bruxelles,25.08.2000
301,3:50.55,Ray Flynn,IRL,22.01.57,5,Koblenz,25.08.1982
302,3:50.56,Thomas Wessinghage,FRG,22.02.52,2,London,31.08.1979
302,3:50.56,Bernard Lagat,USA,12.12.74,2,Eugene,10.06.2007
304,3:50.57,Jim Spivey,USA,07.03.60,6,Oslo,02.07.1988
304,3:50.57,William Tanui,KEN,22.02.64,5,Berlin,26.08.1997
304,3:50.57,Ali Hakimi,TUN,24.04.76,6,Berlin,26.08.1997
307,3:50.58,John Walker,NZL,12.01.52,1,Auckland,19.03.1981
308,3:50.59,Jim Spivey,USA,07.03.60,2,Oslo,09.07.1983
308,3:50.59,José Luis González,ESP,08.12.57,2,Berlin,15.08.1986
308,3:50.59,Jens-Peter Herold,GER,02.06.65,3,Oslo,14.07.1990
311,3:50.60,Steve Holman,USA,02.03.70,4,Oslo,05.07.1996
311,3:50.60,Sammy Mutai,KEN,20.12.74,7,Roma,29.06.2001
313,3:50.61,John Mayock,GBR,26.10.70,6,Oslo,28.07.2000
313,3:50.61,Stewart McSweyn,AUS,01.06.95,1,Penguin,29.12.2020
315,3:50.62,Wilfred Oanda Kirochi,KEN,12.12.69,3,Lausanne,10.07.1991
315,3:50.62,Mark Carroll,IRL,15.01.72,7,Oslo,28.07.2000
317,3:50.64,Graham Williamson,GBR,15.06.60,4,Cork,13.07.1982
317,3:50.64,Leonel Manzano,USA,12.09.84,3,London,14.08.2010
319,3:50.65,Oliver Hoare,AUS,29.01.97,2,Eugene,28.05.2022
320,3:50.66,Nick Willis,NZL,25.04.83,2,Eugene,08.06.2008
321,3:50.67,Abdi Bile,SOM,28.12.62,2,Oslo,22.07.1994
321,3:50.67,Mohammed Moustaoui,MAR,02.04.85,8rA,Eugene,04.06.2011
321,3:50.67,Ruben Verheyden,BEL,22.12.00,12,Oslo,12.06.2025
321,3:50.67,Joao C. Maria Bussotti,ITA,10.05.93,7,Berlin,27.07.2025
325,3:50.68,Noureddine Morceli,ALG,28.02.70,1,Zagreb,07.07.1998
325,3:50.68,Mekonnen Gebremedhin,ETH,11.10.88,3rA,Eugene,03.07.2010
325,3:50.68,James Magut,KEN,20.07.90,6,Oslo,07.06.2012
328,3:50.69,Cornelius Chirchir,KEN,05.06.83,5,Roma,12.07.2002
329,3:50.70,Daniel Kipchirchir Komen,KEN,27.11.84,4rA,Eugene,03.07.2010
329,3:50.70,Johan Cronje,RSA,13.04.82,9rA,Eugene,31.05.2014
331,3:50.72,Henrik Ingebrigtsen,NOR,24.02.91,4,Oslo,11.06.2014
332,3:50.73,Wilson Waigwa,KEN,15.02.49,2,Koblenz,31.08.1983
332,3:50.73,Alan Webb,USA,13.01.83,4,London,30.07.2004
332,3:50.73,Bethwell Birgen,KEN,06.08.88,7,Oslo,07.06.2012
335,3:50.74,Fermin Cacho,ESP,16.02.69,7,Oslo,06.07.1991
335,3:50.74,Mekonnen Gebremedhin,ETH,11.10.88,4,Oslo,03.07.2009
337,3:50.75,Abdi Bile,SOM,28.12.62,1,Zürich,19.08.1987
337,3:50.75,William Biwott Tanui,KEN,05.03.90,4,Oslo,04.06.2010
